Incident Type,Location,Summary,Timestamp,Price Category,Latitude,Longitude
Petty Theft,South Mesa Apts ‐ Bike Rack,"Unknown suspect(s) stole victim's bag off bike, loss $106.00",2022-08-09 11:30:00,Low,,
Petty Theft,Trolley ‐ Central Campus Stop,"Via 911, caller reporting stolen bike, referred to non‐emergency number",2022-08-09 20:00:00,Low,,
Petty Theft ‐ Micro Mobility Device,Pangea Parking Structure,"Electric bicycle, loss $549.00",2022-08-11 06:30:00,Expensive,32.8842556,-117.2431062
Petty Theft ‐ Micro Mobility Device,UC San Diego Bookstore,"Electric scooter, loss $868.98",2022-08-11 18:00:00,Expensive,32.8794408,-117.2369353
Petty Theft of Micro Mobility Device,Regents Rd,"Stolen electric scooter, loss $500.00",2022-08-15 14:00:00,Expensive,32.8552295,-117.2176209
Petty Theft of Micro Mobility Device,UCSD Police Department,"Stolen electric scooter, loss $600.00",2022-08-15 13:50:00,Expensive,32.8826508,-117.2296864
Petty Theft ‐ Bicycle,Regents Road,"Secured bicycle stolen, loss $900.00",2022-08-16 17:00:00,Expensive,32.8552295,-117.2176209
Grand Theft ‐ Micro Mobility Device,Café Ventanas Loading Dock,"Electric Bicycle, Loss $2,000.00",2022-08-19 07:30:00,Expensive,32.8860312,-117.242574
Grand Theft of Micro Mobility Device,Biomedical Sciences Building,"Electric bicycle stolen, loss $2,349.00",2022-08-20 16:49:00,Expensive,32.8765264,-117.2361206
Grand Theft ‐ Micro Mobility Device,Stein Clinical Research Bldg,"Electric bicycle, Loss $1,500.00",2022-08-23 17:20:00,Low,32.8968497,-117.2424287
Grand Theft ‐ Micro Mobility Device,Sequoyah Hall,"Electric bicycle, loss $1,200.00",2022-08-25 13:45:00,Low,32.8821398,-117.2405491
Petty Theft ‐ Micro Mobility Device,South Side of Price Center,"Electric bicycle, loss $350.00",2022-08-22 13:10:00,Expensive,32.8797205,-117.2361952
Petty Theft ‐ Micro Mobility Device,Rec Gym ‐ Bike Rack,"Electric Scooter, loss $500.00",2022-08-25 17:00:00,Expensive,,
Petty Theft ‐ Bicycle,Nuevo East,"Stolen secured bicycle, loss $400.00",2022-08-26 13:10:00,Expensive,32.8746042,-117.2186842
Petty Theft,EBU1,Subject attempted to steal scooter,2022-08-26 18:29:00,Low,32.8820551,-117.2354243
Grand Theft ‐ Micro Mobility Device,South Mesa Apts,"Electric bicycle, loss $1,200.00",2022-08-27 09:00:00,Low,,
Petty Theft of Micro Mobility Device,Lecture Hall,"Stolen secured electric scooter, loss 700.00",2022-08-28 10:30:00,Low,,
Petty Theft ‐ Bicycle,One Miramar Street,"Stolen unsecured bicycle, loss $400.00",2022-08-28 18:25:00,Expensive,32.8737372,-117.2268607
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 20:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-25 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-07-01 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Petty Theft,Mesa Nueva ‐ Arena,Reporting party hears grinder cutting at bike racks,2022-09-06 21:07:00,Low,32.8747057,-117.2228857
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Grand Theft ‐ Micro Mobility Device,Innovation Ln Foodworx,"Electric scooter, loss $1,004.00",2022-06-30 21:00:00,Medium,32.878797,-117.230439
Petty Theft ‐ Bicycle,Europe Hall / Asia Hall,"Secured bicycle stolen, loss $350.00",2022-09-12 20:50:00,Expensive,32.8854422,-117.2434779
Petty Theft ‐ Bicycle,Matthews Apartments,"Secure bicycle stolen, loss $300.00",2022-09-15 08:00:00,Expensive,32.878646,-117.2310505
Petty Theft,Warren Apts ‐ Douglas Hall,Report of non‐affiliated male attempting to steal bicycle,2022-09-16 12:23:00,Low,32.8832565,-117.232967
Grand Theft ‐ Bicycle,Tioga Hall,"Secured bicycle stolen, loss $1,242.00",2022-09-17 12:04:00,Low,32.8790439,-117.2433669
Grand Theft ‐ Bicycle,Trolley ‐ Central Campus Stop,"Unsecured bicycle stolen, loss $1,200.00",2022-09-17 13:06:00,Low,,
Petty Theft ‐ Bicycle,Scholars Dr North,"Secured bicycle stolen, loss $220.00",2022-09-17 21:00:00,Expensive,32.8842874,-117.2424066
Petty Theft of Micro Mobility Device,RIMAC,"Stolen electric scooter, loss $558.00",2022-09-17 19:13:00,Expensive,32.8851041,-117.2404977
Petty Theft ‐ Micro Mobility Device,Marshall Upper Apts M,"Electric scooter, loss $430.00",2022-09-19 22:30:00,Expensive,32.8833158,-117.2417072
Petty Theft,Pepper Canyon Apts,Male attempting to brake bike lock with rocks,2022-09-20 17:26:00,Low,32.8775872,-117.2306142
Petty Theft ‐ Micro Mobility Device,7th College West Bldg 3,"Electric scooter, loss $799.00",2022-09-21 22:30:00,Expensive,,
Grand Theft ‐ Micro Mobility Device,Center Hall,"Electric bicycle, loss $1,500.00",2022-09-22 19:30:00,Low,32.8775468,-117.2374084
Theft ‐ Bicycle,Village East Building,"Secured bicycle stolen, loss $200.00",2022-09-23 18:00:00,Expensive,,
Petty Theft ‐ Bicycle,Galathea Bike,"Secured bicycle stolen, loss $627.00",2022-09-24 12:00:00,Expensive,32.87384910000001,-117.2416525
Petty Theft,Trolley ‐ Central Campus Stop,Report of male seen riding bicycle while holding an electric scooter,2022-09-26 00:03:00,Low,,
Grand Theft ‐ Bicycle,UCSD Police Department,"Secured bicycle stolen, loss $1,000.00",2022-09-26 22:15:00,Medium,32.8826508,-117.2296864
Petty Theft ‐ Bicycle,7th College Building,"Secured bicycle stolen, loss $300.00",2022-09-22 20:50:00,Expensive,,
Petty Theft ‐ Bicycle,Tenaya Hall,"Secured bicycle stolen, loss $450.00",2022-09-26 20:35:00,Expensive,32.8794203,-117.2428555
Petty Theft ‐ Bicycle,EBU2,"Secured bicycle stolen, loss $800.00",2022-09-23 19:00:00,Expensive,32.8811569,-117.2330257
Petty Theft of Micro Mobility Device,Innovation Lane,"Stolen secured electric scooter, loss $649.00",2022-09-20 12:00:00,Expensive,32.8792475,-117.2316562
Petty Theft of Micro Mobility Device,Sixth College,"Stolen electric scooter , loss $649.00",2022-09-20 12:00:00,Expensive,32.8807011,-117.2420455
Petty Theft ‐ Bicycle,Galathea Hall,"Secured bicycle stolen, loss $500.00",2022-09-28 12:30:00,Expensive,32.8738934,-117.2416565
Petty Theft of Micro Mobility Device,EBU2,"Electric scooter, loss $400.00",2022-09-28 19:00:00,Expensive,32.8811569,-117.2330257
Grand Theft,UCSD Central Campus Trolley Stop,"Secured stolen bicycle, loss $1,200.00",2022-09-28 13:00:00,Low,32.878353,-117.231842
Petty Theft of Micro Mobility Device,Center Hall,"Stolen electric bicycle, loss $249.99",2022-09-28 22:00:00,Expensive,32.8775468,-117.2374084
Petty Theft of Micro Mobility Device,EBU2,"Stolen secured electric scooter, loss $400.00",2022-09-29 19:00:00,Expensive,32.8811569,-117.2330257
Petty Theft of Micro Mobility Device,Galbraith Hall,"Stolen electric bicycle and lock, loss $501.00",2022-09-28 12:30:00,Expensive,32.8737102,-117.2409723
Grand Theft ‐ Bicycle,Trolley ‐ Central Campus Stop,"Stolen secured bicycle, loss $1,201.00",2022-09-28 13:00:00,Low,,
Grant Theft ‐ Bicycle,Design and Innovation Bldg.,"Secured bicycle stolen, loss $1,200.00",2022-09-28 13:00:00,Low,32.8794117,-117.2322377
Grand Theft of Micro Mobility Device,Voigt Dr,"Stolen electric bicycle, loss $1,500.00",2022-09-29 15:15:00,Low,32.8811362,-117.2295642
Petty Theft ‐ Bicycle,UCSD Campus Central Station,"Secured bicycle stolen, loss $250.00",2023-01-05 12:30:00,Expensive,32.881168,-117.2343605
Petty Theft,La Jolla Del Sol Apartments,"Secured bicycle stolen from bike rack, loss $300.00",2023-01-07 19:42:00,Expensive,32.8655512,-117.2230338
Petty Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $500.00",2023-01-08 04:25:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Bicycle,Middle Earth Hall,"Secured bicycle stolen, loss $600.00",2023-01-07 20:00:00,Expensive,,
Petty Theft ‐ Bicycle,Miramar St,"Secured bicycle stolen, loss $785.00",2023-01-09 09:10:00,Expensive,32.8735076,-117.2238704
Petty Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $750.00",2023-01-07 23:00:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $500.00",2023-01-07 19:00:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Bicycle,Scholars Dr North,"Secured bicycle stolen, loss $760.00",2023-01-09 15:00:00,Expensive,32.8842874,-117.2424066
Petty Theft ‐ Bicycle,Asia Hall,"Bicycle stolen, loss $309.00",2022-12-15 21:30:00,Expensive,32.8858003,-117.2434846
Grand Theft ‐ Bicycle,Sixth College,"Secured bicycle stolen, loss $1,399.00",2023-01-10 22:00:00,Low,32.8807011,-117.2420455
Petty Theft,RIMAC,"Stolen scooter, reporting party wants contact in person",2023-01-10 20:26:00,Low,32.8851041,-117.2404977
Petty Theft of Micro Mobility Device,Library Walk,"Secured electric scooter stolen, loss $800.00",2023-01-12 10:50:00,Expensive,32.8787741,-117.2375612
Petty Theft of Micro Mobility Device,Center Hall,"Secured electric scooter stolen, loss $450.00",2023-01-12 14:12:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Center Hall,"Secured electric Scooter, loss $800.00",2023-01-12 10:50:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Micro Mobility Device,Blacks Beach Gate,"Secured electric scooter, loss $500.00",2023-01-13 23:30:00,Expensive,32.8906575,-117.2534656
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured Electric Scooter, loss $400.00",2023-01-15 16:30:00,Expensive,32.878353,-117.231842
Petty Theft of Micro Mobility Device,Canyon Vista,"Secured electric scooter stolen, loss $800.00",2023-01-15 13:30:00,Expensive,,
Petty Theft,Main Gymnasium,"Unknown suspect(s) stolen victim's bicycle seat, loss $40.00",2023-01-17 12:00:00,Low,32.8771494,-117.2412479
Petty Theft ‐ Micro Mobility Device,EBU 2,"Secured electric scooter, loss $800.00",2023-01-23 15:35:00,Expensive,32.8811569,-117.2330257
Grand Theft ‐ Micro Mobility Device,Campus Point Dr,"Unsecured electric bike, loss $1,800.00",2022-12-02 19:41:00,Expensive,32.8859811,-117.221339
Grand Theft ‐ Micro Mobility Device,Voigt Dr,"Unsecured electric bike, loss $1,800.00",2022-12-11 06:44:00,Expensive,32.8811362,-117.2295642
Grand Theft ‐ Micro Mobility Device,Hopkins Dr,"Unsecured electric bike, loss $1,800.00",2022-12-18 09:59:00,Expensive,32.8862472,-117.2386908
Petty Theft ‐ Micro Mobility Device,Geisel Library,"Secured electric scooter, loss $799.00",2023-01-24 20:00:00,Expensive,32.881092,-117.2375659
Grand Theft ‐ Micro Mobility Device,3991 Health Sciences Dr,"Unsecured electric scooter Loss $1,800.00",2023-01-05 07:16:00,Expensive,32.8801142,-117.2201149
Petty Theft ‐ Micro Mobility Device,Canyon View Aquatic & Climbing Facility,"Unsecured electric scooter, loss $550.00",2023-01-25 14:45:00,Expensive,32.8805864,-117.2318744
Grand Theft ‐ Micro Mobility Device,3991 Health Sciences Dr,"Unsecured electric scooter Loss $1,800.00",2023-01-05 07:16:00,Expensive,32.8801142,-117.2201149
Grant Theft ‐ Micro Mobility Device,Matthews Ln,"Unsecured electric bike, loss $2,000.00",2023-01-03 07:05:00,Expensive,32.8801283,-117.2344967
Grant Theft ‐ Micro Mobility Device,Myers Dr,"Unsecured electric bike, loss $2,000.00",2022-12-28 09:57:00,Expensive,32.8779216,-117.2362076
Grant Theft ‐ Micro Mobility Device,East Medical Center Dr,"Unsecured electric bike, loss $2,000.00",2022-12-27 01:40:00,Expensive,32.8787204,-117.2221927
Grant Theft ‐ Micro Mobility Device,East Medical Center Dr,"Unsecured electric bike, loss $2,000.00",2022-12-29 07:48:00,Expensive,32.8787204,-117.2221927
Petty Theft ‐ Micro Mobility Device,Franklin Antonio Hall,"Secured electric scooter, loss $500.00",2023-01-26 18:15:00,Expensive,32.8835013,-117.2349145
Grant Theft ‐ Micro Mobility Device,East Medical Center Dr,"Unsecured electric bike, loss $2,000.00",2022-12-29 07:48:00,Expensive,32.8787204,-117.2221927
Grand Theft/ Threaten Crime with Intent to Terrorize,Trolley ‐ La Jolla Health Station,"Subject stole victim's electric bicycle, loss $1,050.00",2023-01-27 22:05:00,Low,,
Petty Theft ‐ Bicycle,ERC,"Bicycle stolen, loss $200.00",2023-01-24 19:00:00,Expensive,,
Petty Theft ‐ Micro Mobility Device,Trolley ‐ Central Campus Station,"Secured electric scooter, loss $308.00",2023-01-28 11:00:00,Expensive,32.878353,-117.231842
Petty Theft ‐ Bicycle,Catalyst,"Secured bicycle stolen, loss $200.00",2023-01-27 20:00:00,Expensive,,
Petty Theft of Micro Mobility Device,Seventh College,"Secured electric bicycle stolen, loss $400.00",2023-01-31 23:00:00,Expensive,32.8879708,-117.2421264
Petty Theft,RIMAC,"Secured electric scooter stolen, loss $600.00",2023-01-30 21:30:00,Expensive,32.8851041,-117.2404977
Petty Theft,Urey Hall,"Secured electric scooter stolen, loss $400.00",2023-01-31 12:00:00,Expensive,32.8755628,-117.2410642
Grand Theft,N Scholars Dr,"Secured electric bicycle, loss $1,700.00",2023-01-29 20:00:00,Expensive,32.8842874,-117.2424066
Petty Theft,Center Hall,"Secured electric scooter stolen, loss $500.00",2023-01-31 23:00:00,Expensive,32.8775468,-117.2374084
Petty Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $600.00",2023-02-01 11:00:00,Expensive,32.8648237,-117.2364128
Petty Theft,Voigt Dr,"Unknown suspect stole electric bicycle's seat with reflector and air tag, loss $80.00",2023-02-01 22:00:00,Medium,32.8811362,-117.2295642
Petty Theft ‐ Micro Mobility Device,Pepper Canyon Hall,"Secured electric scooter, loss $720.00",2023-02-03 11:50:00,Expensive,32.8783769,-117.2337607
Petty Theft ‐ Micro Mobility Device,Showa Ramen ‐ Bike Rack,"Secured electric scooter, loss $500.00",2023-02-03 19:00:00,Expensive,32.8809105,-117.2408997
Grand Theft of Micro Mobility Device,Gilman Dr,"Secured electric scooter stolen, loss $1,000.00",2023-02-04 23:00:00,Medium,32.8648237,-117.2364128
Petty Theft of Micro Mobility Device,Gilman Dr,"Secured electric bicycle stolen, loss $700.00",2023-02-04 09:00:00,Expensive,32.8648237,-117.2364128
Grand Theft ‐ Bicycle,Gilman Dr,"Secured bicycle stolen, loss $1,200.00",2023-02-04 13:25:00,Low,32.8648237,-117.2364128
Petty Theft of Micro Mobility Device,Charles David Keeling Apartments,"Secured electric scooter stolen, loss $520.00",2023-02-04 15:03:00,Expensive,,
Petty Theft of Micro Mobility Device,Gilman Dr,"Secured electric scooter stolen, loss $350.00",2023-02-03 23:40:00,Expensive,32.8648237,-117.2364128
Petty Theft ‐ Micro Mobility Device,Tamarack Apts,"Secured motor scooter, loss $450.00",2023-02-05 21:30:00,Expensive,32.8783854,-117.2423065
Petty Theft ‐ Bicycle,Tenaya Hall ‐ Bike Rack,"Secured bike, loss $200.00",2023-02-06 20:00:00,Expensive,32.8794203,-117.2428555
Petty Theft ‐ Bicycle,Tioga Hall North,"Secured bicycle, loss $450.00",2023-02-06 08:00:00,Expensive,32.8790315,-117.2433838
Petty Theft ‐ Bicycle,"Keeling Apt, 5th Floor Bike Rack","Secured bicycle stolen, loss $800.00",2023-02-03 22:30:00,Expensive,32.8737556,-117.2433215
Petty Theft ‐ Bicycle,Beagle Hall ‐ South Bike Rack,"Secured bike, loss $200.00",2023-02-08 15:00:00,Expensive,32.874122,-117.2426029
Petty Theft ‐ Micro Mobility Device,Peterson Hall,"Secured electric scooter, loss $880.00",2023-02-08 20:40:00,Expensive,32.8799725,-117.2403292
Petty Theft ‐ Micro Mobility Device,Catalyst Parking Structure ‐ Bike Rack,"Secured electric scooter, loss $400.00",2023-02-03 21:00:00,Expensive,,
Petty Theft ‐ Bicycle,York Hall,"Secured electric scooter stolen, loss $800.00",2023-02-11 12:30:00,Expensive,32.8745478,-117.2400077
Petty Theft of Micro Mobility Device,Laurel Extension,"Secured electric scooter stolen, loss $300.00",2023-02-11 23:30:00,Expensive,,
Petty Theft,Rita Atkinson Residences,"Secured bicycle stolen, loss $500.00",2023-02-13 16:00:00,Expensive,32.872898,-117.2353067
Petty Theft,Mesa Apartments South,"Secured bicycle stolen, loss $200.00",2023-02-13 13:00:00,Expensive,,
Petty Theft,Center Hall,"Secured electric scooter stolen, loss $500.00",2023-02-13 18:20:00,Expensive,32.8775468,-117.2374084
Grand Theft of Micro Mobility Device,Mandell Weiss Ln,"Spin electric scooter stolen, loss $1,500.00",2023-02-14 18:30:00,Low,32.8720213,-117.240596
Grand Theft of Micro Mobility Device,Mandell Weiss Ln,"Spin electric scooter stolen, loss $1,500.00",2023-02-14 18:30:00,Low,32.8720213,-117.240596
Petty Theft,Mesa Apartments,"Secured bicycle stolen, loss $120.00",2023-02-10 09:43:00,Low,32.87382780000001,-117.2215649
Petty Theft,Argo Hall,Stolen bicycle,2023-02-14 11:20:00,Low,32.8745162,-117.2416218
Petty Theft,Gilman Dr,"Secured electric scooter stolen, loss $530.00",2023-02-14 03:10:00,Expensive,32.8648237,-117.2364128
Grand Theft of Miro Mobility Device,Gilman Dr,"Spin electric scooter stolen, loss $1,200.00",2023-02-15 02:25:00,Low,32.8648237,-117.2364128
Petty Theft of Miro Mobility Device,3811 Miramar St,"Spin electric scooter stolen, loss $400.00",2023-02-15 07:35:00,Expensive,32.8750164,-117.2236212
Grand Theft of Miro Mobility Device,UC Health,"Spin electric scooter stolen, loss $1,200.00",2023-02-14 22:20:00,Low,32.8944459,-117.2121696
Grand Theft of Miro Mobility Device,9155 Mandell Weiss,"Spin electric scooter stolen, loss $1,200.00",2023-02-07 21:00:00,Low,32.8721027,-117.239938
Grand Theft of Miro Mobility Device,Voigt Dr / Scripps Memorial Hospital,"Spin electric scooter stolen, loss $1,200.00",2023-02-11 20:00:00,Low,32.882508,-117.2243782
Grand Theft of Miro Mobility Device,9505 S Scholars Dr,"Spin electric scooter stolen, loss $1,200.00",2023-01-31 22:57:00,Low,32.8794129,-117.2430125
Grand Theft of Miro Mobility Device,6 Scholars Dr N,"Spin electric scooter stolen, loss $1,200.00",2023-02-14 21:12:00,Low,32.8875993,-117.2420287
Grand Theft of Miro Mobility Device,10116 Scholars Dr N,"Spin electric scooter stolen, loss $1,200.00",2023-02-11 12:53:00,Low,32.8873161,-117.2426326
Petty Theft,N Scholars Dr,"Secured electric scooter stolen, loss $500.00",2023-02-10 21:00:00,Expensive,32.8842874,-117.2424066
Petty Theft,Miramar St,"Spin electric scooter, loss $400.00",2023-01-13 21:27:00,Expensive,32.8735076,-117.2238704
Petty Theft ‐ Bicycle,Health Sciences Dr,"Spin electric scooter stolen, loss $2,000.00",2023-02-12 07:10:00,Expensive,32.878625,-117.2204098
Petty Theft of Micro Mobility Device,Visual Arts Facility,"Secured electric scooter stolen, loss $600.00",2023-02-17 12:00:00,Expensive,,
Petty Theft,Pepper Canyon Hall,"Secured electric scooter stolen, loss $500.00",2023-02-17 12:50:00,Expensive,32.8783769,-117.2337607
Petty Theft,Trolley ‐ Central Campus Station,"Secured bicycle stolen, loss $300.00",2023-02-17 14:00:00,Expensive,32.878353,-117.231842
Petty Theft of Micro Mobility Device,Pepper Canyon Hall,"Secured electric scooter stolen, loss $500.00",2023-02-17 14:54:00,Expensive,32.8783769,-117.2337607
Petty Theft of Micro Mobility Device,Leichtag Biomedical Research,"Secured electric scooter stolen, loss $600.00",2023-02-17 13:00:00,Expensive,32.8767963,-117.2372406
Petty Theft ‐ Micro Mobility Device,Central Campus Trolley,"Secured electric scooter, loss $600.00",2023-02-18 16:00:00,Expensive,,
Grand Theft ‐ Micro Mobility Device,Lyman Ln,"Unsecured electric scooter, loss $2,000.00",2023-01-03 17:00:00,Expensive,32.8793588,-117.2353782
Grand Theft ‐ Micro Mobility Device,Trolley ‐ La Jolla Health,"Unsecured electric scooter, loss $1,500.00",2023-02-20 20:46:00,Low,,
Petty Theft ‐ Micro Mobility Device,The Trove ‐ Price Center West,"Secured electric scooter, loss $400.00, damaged lock $5.00",2023-02-21 21:40:00,Expensive,32.8794123,-117.2368497
Petty Theft ‐ Micro Mobility Device,Center For Novel Therapeutics,"Unsecured electric scooter, loss $400.00",2023-01-08 08:00:00,Expensive,32.8769868,-117.2208431
Grand Theft ‐ Micro Mobility Device,Lot P508,"Unsecured electric scooter, loss $1,200.00",2023-01-08 21:00:00,Low,32.8803157,-117.2334851
Petty Theft ‐ Micro Mobility Device,Equality Ln,"Unsecured electric bicycle, loss $400.00",2023-01-02 09:50:00,Expensive,32.8833264,-117.2341912
Petty Theft ‐ Micro Mobility Device,Equality Ln,"Unsecured electric bicycle, loss $400.00",2023-12-31 21:32:00,Expensive,32.8833264,-117.2341912
Petty Theft ‐ Micro Mobility Device,Stewart Hall,"Secured electric scooter, loss $600.00",2023-02-22 09:30:00,Expensive,32.8841688,-117.2324735
Petty Theft ‐ Micro Mobility Device,Mesa Nueva,"Unsecured electric bicycle, loss $400.00",2022-12-31 21:32:00,Expensive,32.8756502,-117.2224578
Grand Theft ‐ Micro Mobility Device,Scholars Ln,"Unsecured electric scooter, loss $1,200.00",2023-01-14 16:24:00,Low,32.878088,-117.2423827
Petty Theft ‐ Micro Mobility Device,Gilman Parking Structure,"Unsecured electric scooter, loss $400.00",2023-01-03 08:05:00,Expensive,32.8773774,-117.2338526
Grand Theft ‐ Micro Mobility Device,Matthews Ln,"Unsecured electric scooter, loss $1,200.00",2023-01-10 15:36:00,Low,32.8801283,-117.2344967
Grand Theft ‐ Micro Mobility Device,Mandell Weiss Ln,"Unsecured electric scooter, loss $1,200.00",2023-01-23 17:01:00,Low,32.8720213,-117.240596
Grand Theft ‐ Micro Mobility Device,Eucalyptus Grove Ln,"Unsecured electric scooter, loss $1,200.00",2023-01-14 10:10:00,Low,32.8754873,-117.2395158
Grand Theft ‐ Micro Mobility Device,Eco Flat East Bldg 4,"Secured electric bicycle, loss $1,500.00",2023-02-22 23:00:00,Low,32.8880778,-117.2417602
Petty Theft ‐ Micro Mobility Device,Galathea Hall,"Secured electric scooter, loss $529.00, damage $30.00",2023-02-23 23:00:00,Expensive,32.8738934,-117.2416565
Grand Theft ‐ Micro Mobility Device,North Point Ln,"Unsecured electric bicycle, loss $1,800.00",2023-02-13 12:04:00,Expensive,32.8891672,-117.2408438
Grand Theft of Micro Mobility Device,9101 Gilman Dr,"Spin electric scooter stolen, loss $1,200.00",2023-02-19 14:40:00,Low,32.8734827,-117.2376881
Grand Theft of Micro Mobility Device,1 Miramar St,"Spin electric scooter stolen, loss $1,200.00",2023-02-21 16:42:00,Low,32.8737372,-117.2268607
Grand Theft ‐ Bicycle,487 Grand Theft,"Secured bicycle stolen, loss $1,500.00",2023-02-24 17:40:00,Low,,
Grand Theft of Micro Mobility Device,9101 Gilman Dr,"Spin electric scooter stolen, loss $1,200.00",2023-02-19 14:40:00,Low,32.8734827,-117.2376881
Grand Theft of Micro Mobility Device,4715 Voigt Dr,"Spin electric scooter stolen, loss $1,200.00",2023-02-13 17:46:00,Low,32.8801825,-117.2202466
Grand Theft ‐ Bicycle,487 Grand Theft,"Secured bicycle stolen, loss $1,500.00",2023-02-24 17:40:00,Low,,
Petty Theft,UCSD Main Gym,"Unknown suspect(s) stole bicycle tires from a secured electric bicycle, $180.00",2023-02-25 20:00:00,Expensive,32.8771494,-117.2412479
Petty Theft ‐ Bicycle,Price Center West,"Unknown if bicycle was secured, loss $369.00",2023-02-25 15:00:00,Expensive,32.8794123,-117.2368497
Petty Theft ‐ Bicycle,One Miramar Bldg 4,"Secured bicycle, loss $448.00",2023-02-25 17:30:00,Expensive,32.8737372,-117.2268607
Petty Theft ‐ Micro Mobility Device,Yogurt World,"Secured electric scooter, loss $700.00",2023-02-25 19:20:00,Expensive,,
Grand Theft ‐ Bicycle,Structural and Material Engineering,"Secured bicycle stolen, loss $2.600.00",2023-02-26 09:00:00,Low,32.8800218,-117.2329402
Petty Theft of Micro Mobility Device,Sixth Market,"Secured electric scooter stolen, loss $450.00",2023-02-28 11:00:00,Expensive,32.8800917,-117.2422501
Petty Theft of Micro Mobility Device,Pepper Canyon Hall,"Secured electric scooter stolen, loss $400.00",2023-02-28 11:50:00,Expensive,32.8783769,-117.2337607
Petty Theft of Micro Mobility Device,Center Hall,"Secured electric scooter stolen, loss $700.00",2023-03-01 12:50:00,Expensive,32.8775468,-117.2374084
Grand Theft of Micro Mobility Device,Lot 702,"Spin electric scooter stolen, loss $1,800.00",2023-01-21 18:00:00,Expensive,,
Grand Theft of Micro Mobility Device,Lot 101,"Spin electric scooter stolen, loss $1,800.00",2023-01-22 17:54:00,Expensive,,
Grand Theft of Micro Mobility Device,Lot 003,"Spin electric scooter stolen, loss $1,800.00",2023-01-23 18:00:00,Expensive,,
Petty Theft of Micro Mobility Device,Otterson Hall,"Secured electric scooter stolen, loss $400.00",2023-03-02 13:00:00,Expensive,32.8865929,-117.2411101
Petty Theft ‐ Bicycle,64 Degrees ‐ Bike Rack,"Unsecured bicycle, loss $560.00",2023-03-02 18:50:00,Expensive,32.8747459,-117.2420341
