datetime,temperature,precipitation
2023-12-16 19:28:00,49.4,0.0
2022-12-18 10:55:00,52.7,0.0
2024-12-19 19:50:00,,
2024-12-23 18:40:00,,
2022-12-28 05:30:00,60.4,0.0
2022-12-21 21:00:00,46.9,0.0
2023-12-20 14:00:00,59.9,0.2
2022-01-02 02:00:00,53.7,0.0
2024-01-02 13:20:00,53.9,0.0
2023-12-24 14:25:00,52.5,0.0
2023-12-22 13:15:00,53.0,0.0
2023-12-23 12:25:00,55.4,0.0
2022-01-03 17:13:00,41.7,0.0
2023-01-03 22:30:00,57.0,0.0
2024-01-04 00:21:00,47.2,0.0
2022-01-04 08:40:00,56.2,0.0
2023-01-08 14:22:00,50.7,0.0
2024-12-23 07:30:00,,
2023-01-08 20:55:00,50.6,0.0
2024-01-07 11:00:00,52.8,0.0
2023-01-12 18:50:00,47.2,0.0
2023-01-13 13:05:00,49.1,0.0
2023-01-13 18:45:00,47.6,0.0
2022-12-28 12:55:00,52.8,0.0
2024-01-16 10:10:00,56.7,0.0
2024-01-16 19:45:00,51.3,0.0
2022-06-30 08:45:00,74.9,0.0
2022-01-16 14:40:00,56.8,0.1
2024-12-29 13:30:00,,
2022-01-18 11:22:00,55.3,0.0
2023-01-18 14:17:00,45.3,0.0
2023-01-17 20:30:00,44.1,0.0
2022-01-19 15:20:00,51.4,0.0
2024-01-20 02:20:00,59.5,0.0
2023-01-20 12:55:00,48.2,0.0
2024-01-19 15:15:00,55.0,0.0
2023-12-28 16:30:00,52.3,0.0
2022-01-20 01:07:00,56.8,0.0
2024-07-22 08:35:00,75.9,0.0
2024-01-21 04:15:00,60.4,0.0
2024-01-21 19:20:00,56.7,0.2
2023-01-21 19:27:00,43.1,0.0
2022-01-21 12:00:00,52.7,0.0
2022-01-14 02:00:00,67.0,0.0
2024-01-22 16:19:00,52.6,0.1
2024-01-23 11:15:00,55.4,0.0
2024-01-12 16:25:00,44.0,0.0
2024-01-02 00:30:00,50.9,0.0
2023-07-01 19:15:00,63.8,0.0
2022-01-26 13:19:00,51.1,0.0
2022-01-26 21:00:00,42.3,0.0
2024-01-28 02:00:00,67.3,0.0
2024-01-04 21:30:00,42.4,0.0
2022-01-30 03:45:00,64.7,0.0
2023-01-30 17:30:00,46.3,0.2
2024-01-05 12:00:00,50.7,0.0
2022-01-30 13:45:00,51.4,0.0
2024-01-31 12:00:00,53.5,0.0
2023-01-31 19:25:00,40.0,0.0
2022-10-01 08:26:00,70.7,0.0
2024-10-01 16:22:00,64.1,0.0
2022-10-02 06:40:00,73.4,0.0
2022-10-02 14:40:00,67.0,0.0
2022-10-03 05:24:00,73.4,0.0
2022-09-30 00:15:00,67.0,0.0
2024-10-03 07:45:00,77.7,0.0
2023-10-10 15:25:00,65.7,0.2
2023-10-11 12:07:00,64.4,0.0
2022-10-11 14:14:00,65.3,0.0
2023-10-11 00:30:00,62.9,0.0
2023-10-03 11:52:00,67.3,0.0
2022-10-12 11:30:00,67.6,0.0
2024-10-13 04:00:00,70.1,0.0
2022-10-13 15:30:00,65.0,0.0
2022-10-13 22:05:00,64.8,0.0
2023-10-12 13:30:00,64.3,0.0
2023-10-04 09:24:00,76.0,0.0
2023-10-04 01:07:00,68.3,0.0
2024-10-04 07:40:00,74.1,0.0
2023-10-04 19:30:00,62.3,0.0
2024-10-04 16:52:00,63.6,0.0
2023-10-05 13:15:00,68.2,0.0
2022-10-02 07:55:00,72.9,0.0
2022-10-06 09:29:00,68.3,0.0
2023-10-06 11:52:00,70.6,0.0
2023-10-06 03:00:00,82.3,0.0
2022-10-06 11:55:00,65.6,0.0
2024-10-05 17:14:00,63.1,0.0
2024-10-06 12:00:00,66.0,0.0
2023-10-07 04:15:00,81.4,0.0
2022-10-09 02:55:00,70.7,0.0
2022-10-09 15:30:00,65.6,0.0
2023-10-09 20:52:00,64.1,0.0
2024-10-08 16:00:00,62.5,0.0
2023-10-10 10:25:00,68.0,0.0
2022-10-10 10:05:00,67.5,0.0
2023-10-14 11:30:00,67.2,0.0
2023-10-15 19:07:00,59.0,0.0
2022-10-15 21:05:00,64.1,0.0
2024-10-16 22:30:00,62.6,0.0
2022-10-15 12:06:00,63.1,1.4
2022-10-17 14:30:00,64.2,0.0
2022-10-16 05:00:00,69.6,0.1
2023-10-17 11:40:00,67.0,0.0
2024-10-17 15:47:00,61.8,0.0
2023-10-17 22:30:00,57.8,0.0
2024-10-26 05:02:00,74.0,0.0
2023-10-26 21:59:00,56.4,0.0
2022-10-27 00:30:00,58.6,0.0
2024-10-27 15:22:00,62.8,0.0
2024-10-24 20:00:00,56.8,0.0
2024-10-27 19:07:00,61.1,0.0
2022-10-27 21:16:00,54.2,0.0
2023-10-27 06:00:00,69.1,0.0
2023-10-27 23:00:00,51.8,0.0
2022-10-29 19:53:00,55.6,0.0
2024-10-17 19:10:00,60.4,0.0
2022-10-18 08:40:00,77.8,0.0
2022-10-18 04:30:00,75.7,0.0
2022-10-20 01:15:00,72.5,0.0
2023-10-20 08:35:00,76.1,0.0
2024-10-20 04:45:00,80.0,0.0
2023-10-19 19:20:00,63.5,0.0
2023-10-23 02:37:00,65.2,0.3
2023-10-22 15:15:00,64.2,0.0
2024-10-24 13:56:00,63.3,0.0
2024-10-24 13:00:00,63.3,0.0
2024-10-24 15:11:00,59.8,0.0
2024-10-24 21:15:00,55.8,0.0
2022-10-24 09:40:00,68.4,0.0
2024-10-25 02:00:00,64.8,0.0
2022-10-25 02:52:00,67.2,0.0
2024-10-25 13:32:00,61.6,0.0
2022-10-26 09:00:00,65.9,0.0
2023-10-26 01:00:00,64.1,0.1
2023-10-25 11:55:00,62.2,0.0
2022-10-29 12:30:00,61.3,0.0
2022-10-30 12:15:00,61.3,0.0
2024-02-01 02:01:00,54.9,3.8
2023-02-01 15:50:00,44.4,0.0
2023-02-01 15:10:00,44.4,0.0
2024-01-29 17:30:00,47.8,0.0
2024-01-20 15:00:00,56.8,0.0
2024-02-02 02:00:00,54.5,0.1
2024-02-02 02:12:00,54.5,0.1
2022-02-02 21:00:00,43.2,0.0
2024-02-14 17:30:00,48.7,0.0
2023-02-14 17:27:00,44.4,0.0
2024-02-15 11:30:00,52.3,0.0
2024-02-15 01:30:00,55.9,0.0
2024-02-15 20:50:00,48.1,0.0
2024-02-16 02:00:00,59.4,0.0
2024-02-02 21:00:00,49.2,0.0
2022-02-14 00:30:00,58.3,0.0
2024-02-16 15:50:00,49.7,0.0
2024-02-16 18:06:00,50.6,0.0
2022-02-08 10:30:00,61.0,0.0
2024-02-08 04:00:00,55.8,0.2
2022-02-08 06:27:00,73.0,0.0
2024-02-08 18:37:00,47.8,0.2
2023-02-06 07:00:00,57.8,0.0
2022-01-10 00:00:00,56.2,0.0
2022-02-09 13:00:00,60.6,0.0
2024-02-10 13:20:00,46.6,0.0
2023-02-11 20:58:00,46.3,0.0
2023-02-14 14:45:00,50.6,0.0
2023-02-16 20:10:00,46.2,0.0
2024-02-17 17:55:00,49.6,0.0
2024-02-17 17:15:00,49.6,0.0
2022-02-17 18:18:00,46.8,0.0
2022-02-17 21:30:00,44.1,0.0
2022-02-18 10:53:00,55.9,0.0
2023-02-18 12:13:00,48.7,0.0
2023-02-14 03:00:00,53.7,0.2
2023-02-18 12:00:00,48.7,0.0
2022-02-18 15:45:00,49.0,0.0
2023-02-18 18:19:00,46.2,0.0
2024-02-18 13:30:00,54.0,0.0
2024-02-18 18:00:00,50.8,0.0
2022-02-19 19:00:00,50.6,0.0
2022-02-20 01:00:00,56.1,0.0
2023-02-16 04:30:00,60.2,0.0
2023-02-23 19:02:00,45.1,0.0
2022-12-10 20:20:00,50.5,0.0
2022-02-24 01:15:00,51.4,0.0
2023-02-24 10:30:00,54.1,0.0
2024-02-24 20:24:00,51.2,0.0
2022-02-24 12:30:00,48.9,0.0
2024-01-30 15:55:00,52.8,0.0
2022-02-25 20:22:00,40.0,0.0
2024-02-24 11:05:00,59.3,0.0
2023-02-28 10:06:00,50.4,0.0
2022-02-28 10:19:00,60.9,0.0
2024-02-28 02:15:00,60.0,0.0
2023-02-18 12:00:00,48.7,0.0
2024-02-28 16:30:00,52.3,0.0
2024-02-28 18:07:00,51.7,0.0
2023-08-02 12:17:00,68.5,0.0
2024-08-05 10:30:00,74.2,0.0
2022-08-05 10:38:00,73.8,0.0
2024-08-06 07:30:00,77.5,0.0
2023-08-07 20:05:00,67.0,0.0
2022-08-08 21:01:00,68.4,0.0
2022-08-11 05:50:00,82.0,0.0
2023-08-11 00:15:00,69.4,0.0
2023-08-11 10:45:00,70.2,0.0
2023-08-15 13:15:00,69.1,0.0
2023-08-15 13:07:00,69.1,0.0
2024-08-15 17:00:00,66.7,0.0
2023-08-19 06:45:00,71.7,0.0
2023-08-20 16:49:00,65.3,0.7
2022-08-21 01:00:00,71.2,0.0
2023-08-22 16:27:00,64.2,0.0
2024-08-23 12:25:00,67.9,0.0
2024-08-24 21:12:00,60.3,0.0
2024-08-25 11:37:00,71.6,0.0
2023-08-22 13:10:00,65.9,0.0
2024-08-25 15:30:00,67.7,0.0
2024-08-25 13:10:00,69.7,0.0
2022-08-26 18:29:00,67.5,0.0
2023-08-27 05:00:00,78.6,0.0
2022-08-28 08:45:00,73.1,0.0
2023-08-28 18:25:00,66.1,0.0
2024-08-28 14:37:00,66.0,0.0
2024-05-02 09:30:00,64.9,0.0
2024-05-02 15:27:00,58.9,0.0
2022-05-02 17:00:00,57.7,0.0
2022-05-02 16:45:00,58.4,0.0
2023-05-03 13:25:00,55.0,0.0
2022-05-08 08:35:00,61.9,0.1
2023-05-05 22:00:00,50.3,0.1
2023-05-09 13:15:00,57.2,0.1
2023-05-09 20:36:00,54.3,0.0
2024-05-11 08:57:00,65.5,0.0
2022-05-11 09:15:00,61.1,0.0
2023-05-12 11:00:00,60.0,0.0
2024-05-12 22:05:00,59.5,0.0
2022-05-13 10:36:00,70.1,0.0
2023-05-13 19:05:00,57.6,0.0
2022-05-13 20:40:00,55.9,0.0
2024-05-13 21:45:00,57.6,0.0
2024-05-13 21:45:00,57.6,0.0
2024-05-14 13:00:00,59.1,0.0
2024-05-15 14:14:00,58.5,0.0
2024-05-12 10:30:00,62.6,0.0
2022-05-16 15:37:00,59.5,0.0
2024-05-13 09:30:00,63.4,0.0
2024-05-19 18:25:00,55.1,0.0
2023-05-20 03:15:00,65.5,0.0
2023-05-20 12:39:00,60.6,0.0
2022-05-20 13:00:00,59.5,0.0
2024-05-20 03:30:00,64.1,0.0
2023-05-20 19:45:00,58.7,0.0
2023-05-22 01:10:00,62.2,0.0
2024-05-23 20:45:00,57.3,0.0
2024-05-23 08:32:00,64.0,0.0
2024-05-24 08:45:00,65.4,0.0
2024-05-24 13:15:00,57.8,0.0
2022-05-23 12:45:00,58.3,0.0
2023-05-24 14:27:00,58.8,0.0
2023-05-26 19:30:00,58.6,0.0
2024-05-28 05:30:00,66.9,0.0
2022-05-29 10:00:00,64.3,0.0
2024-05-30 20:45:00,57.8,0.0
2023-11-01 18:50:00,56.8,0.0
2024-11-02 07:50:00,65.8,0.0
2024-11-02 18:00:00,57.8,0.0
2022-11-03 07:55:00,61.1,0.0
2024-11-04 06:20:00,70.3,0.0
2024-11-03 19:30:00,49.4,0.0
2022-11-04 15:00:00,53.8,0.0
2024-11-04 02:25:00,67.2,0.0
2024-11-05 03:30:00,70.2,0.0
2024-11-05 05:45:00,70.7,0.0
2022-11-03 01:10:00,56.9,0.0
2023-11-06 11:00:00,61.0,0.0
2022-11-06 09:30:00,60.4,0.0
2022-11-06 14:02:00,57.6,0.0
2022-11-07 08:42:00,61.9,0.2
2023-11-07 09:50:00,63.7,0.1
2022-11-06 03:30:00,65.9,0.0
2023-11-07 12:55:00,62.3,0.0
2024-11-09 13:30:00,56.4,0.0
2024-11-09 01:30:00,66.1,0.0
2024-11-10 16:59:00,53.2,0.0
2024-11-11 12:45:00,56.5,0.0
2023-11-10 18:00:00,48.3,0.0
2023-11-12 18:07:00,53.1,0.0
2022-11-14 15:07:00,49.6,0.0
2024-11-14 12:00:00,57.8,0.0
2023-11-15 10:15:00,59.9,4.4
2024-11-15 11:49:00,55.0,0.0
2024-11-15 11:42:00,55.0,0.0
2024-11-15 13:30:00,55.1,0.0
