type,price,location,date,time,weather,rain
scooter,430,the village ,11/06/2022,11:00,52.3,0.0
bicycle,150,pepper canyon ln,11/06/2022,09:30,58.5,0.0
scooter,800,target,11/06/2022,14:02,61.1,0.0
bicycle,350,peterson hall,11/07/2022,08:42,67.2,0.0
bicycle,400,york hall,11/07/2022,09:50,48.4,0.0
scooter,650,meteor hall,11/06/2022,03:30,53.8,0.0
bicycle,-1,old town,11/07/2022,12:55,59.8,0.0
scooter,700,starbucks coffee,11/09/2022,13:30,66.7,0.0
bicycle,520,miramar street,11/09/2022,01:30,67.8,0.0
bicycle,-1,"one miramar st, bldg 1",11/10/2022,16:59,56.9,0.0
bicycle,1206,lot 017,11/11/2022,12:45,57.7,0.0
scooter,600,price center ,11/10/2022,18:00,45.2,0.0
scooter,300,the village ,11/12/2022,18:07,50.3,0.0
bicycle,500,rady school of medicine,11/14/2022,15:07,49.6,0.0
scooter,850,"revelle - housing, dining & hospitality bldg",11/14/2022,12:00,52.0,0.0
scooter,400,galbraith hall,11/15/2022,10:15,55.9,0.0
scooter,399,trolley - central campus stop,11/15/2022,11:49,54.1,0.0
scooter,310,center hall north ,11/15/2022,11:42,54.1,0.0
scooter,2300,wells fargo hall,11/15/2022,13:30,52.0,0.0
bicycle,300,peterson hall  ,11/16/2022,10:30,58.7,0.0
scooter,300,center hall,11/16/2022,15:10,53.0,0.0
bicycle,1000,seventh college  #3,11/17/2022,19:39,53.4,0.0
bicycle,550,lyman ave,11/18/2022,13:36,54.3,0.0
bicycle,750,charles david keeling apts,11/19/2022,06:35,50.8,0.0
bicycle,646,la jolla del sol apartments,11/20/2022,00:45,68.4,0.0
bicycle,750,charles david keeling apartments,11/19/2022,06:35,64.4,0.0
scooter,700,pepper canyon apartments,11/20/2022,05:30,63.4,0.0
scooter,1200,rimac,11/20/2022,21:58,49.6,0.0
bicycle,380,argo hall,11/21/2022,07:47,53.2,0.0
bicycle,534,gilman dr,11/20/2022,11:37,47.8,0.0
bicycle,800,geisel library,11/21/2022,12:37,75.7,0.0
bicycle,420,price center ,11/20/2022,15:25,67.6,0.0
scooter,414,price center,11/21/2022,14:35,71.6,0.0
bicycle,250,medical teaching facility,11/21/2022,18:45,62.5,0.0
bicycle,-1,pepper canyon apartments,11/22/2022,03:34,69.9,0.0
bicycle,600,miramar st,11/21/2022,01:20,64.8,0.0
bicycle,110,design and innovation building,11/20/2022,01:00,64.0,0.0
bicycle,200,seventh  building,11/21/2022,19:07,64.3,0.0
scooter,800,warren lecture hall,11/23/2022,12:37,72.3,0.0
bicycle,-1,trolley - central campus stop,11/23/2022,18:50,73.3,0.0
bicycle,325,nuevo  - exchange,11/24/2022,05:15,65.4,0.0
scooter,1000,price center / target,11/25/2022,21:10,45.7,0.0
skateboard,300,mesa apartments central,11/27/2022,15:13,54.4,0.0
bicycle,781,one miramar st bldg 1,11/25/2022,14:00,51.5,0.0
bicycle,100,ntpll - catalyst,11/25/2022,04:00,73.1,0.0
bicycle,500,7th  tower,11/28/2022,18:42,56.0,0.0
scooter,649,challenger hall,11/29/2022,00:40,57.0,0.0
bicycle,150,marshal lower o bldg,11/27/2022,20:30,52.7,0.0
bicycle,170,ntpll - kaleidoscope,07/02/2022,15:50,63.7,0.0
bicycle,1000,scholars dr north,07/03/2022,17:15,63.3,0.0
bicycle,100,scholars dr north,07/03/2022,20:15,64.0,0.0
bicycle,-1,gilman dr/ myers dr,07/05/2022,11:38,47.8,0.0
bicycle,500,one miramar street,07/03/2022,05:20,51.6,0.0
bicycle,300,camp snoopy,06/11/2022,16:00,73.5,0.0
scooter,700,central hall,07/07/2022,10:15,55.0,0.0
bicycle,-1,ntpll - mosaic,07/11/2022,13:28,73.5,0.0
bicycle,249,mesa nueva - artesa 4th floor,07/03/2022,20:10,73.9,0.0
scooter,400,biomedical research facility ii,07/13/2022,17:58,50.3,0.0
bicycle,100,gilman dr / myers ,07/14/2022,04:00,68.2,0.0
bicycle,1200,molli and arthur wagner dance building,07/18/2022,09:00,62.5,0.0
bicycle,675,price center,07/19/2022,20:57,57.4,0.0
scooter,2300,central mesa apartments,07/20/2022,20:46,65.5,0.0
bicycle,370,urey 1220,07/21/2022,12:17,65.9,0.0
bicycle,300,café ventanas,07/01/2022,17:30,65.7,0.0
scooter,200,warren lecture hall,07/21/2022,21:34,65.0,0.0
bicycle,1270,pacific hall,07/22/2022,18:22,64.9,0.0
bicycle,60,seventh college,07/23/2022,00:45,66.2,0.0
scooter,-1,geisel library,07/24/2022,17:36,65.4,0.0
bicycle,315,mesa nueva - cresta,07/23/2022,18:30,64.0,0.0
bicycle,400,la jolla del sol,07/25/2022,10:54,69.4,0.0
bicycle,-1,warren apts - goldberg,07/26/2022,12:00,66.7,0.0
bicycle,900,atkinson hall,07/26/2022,14:15,66.6,0.0
scooter,250,center hall - ,07/28/2022,18:00,64.9,0.0
bicycle,-1,south mesa apts,07/30/2022,14:13,68.7,0.0
bicycle,300,south mesa apts,07/30/2022,06:50,75.6,0.0
scooter,700,ucsd book store,07/30/2022,13:35,69.2,0.0
bicycle,700,scholars dr north,07/16/2022,16:30,65.9,0.0
bicycle,1600,biomedical research facility,06/02/2022,19:28,57.6,0.0
bicycle,450,athena parking,06/03/2022,13:30,60.6,0.0
bicycle,759,serf building,06/03/2022,05:05,68.9,0.0
scooter,538,trolley- central campus stop,05/26/2022,16:30,59.4,0.0
scooter,900,price center,06/05/2022,15:34,61.8,0.0
bicycle,217,canyonview,06/05/2022,22:28,62.2,0.0
bicycle,-1,main gym,06/05/2022,23:10,65.8,0.0
scooter,700,ntpll - scholars parking,06/06/2022,03:30,74.2,0.0
bicycle,900,geisel library,06/05/2022,04:40,66.1,0.0
scooter,350,price center ,06/06/2022,20:00,65.5,0.0
scooter,800,geisel library,06/08/2022,08:30,66.3,0.0
scooter,529,warren apartments,06/10/2022,18:35,65.8,0.0
bicycle,1500,discovery way,06/10/2022,02:27,65.8,0.0
bicycle,172,mesa nueva,06/10/2022,14:30,78.6,0.0
skateboard,1500,one miramar street,06/16/2022,16:31,62.8,0.0
bicycle,250,south mesa apartments,06/16/2022,23:25,62.7,0.0
bicycle,400,mesa nueva - cala,06/21/2022,12:55,63.8,0.0
bicycle,-1,trolley - central campus stop,06/21/2022,08:57,73.2,0.0
scooter,699,rimac ,06/22/2022,20:15,71.4,0.0
scooter,350,7th college,06/26/2022,14:40,63.0,0.0
bicycle,1500,europe & asia hall ,06/23/2022,23:30,70.8,0.0
bicycle,399,edu ii & literature building,06/29/2022,16:05,63.4,0.0
bicycle,300,one miramar bldg 34,06/29/2022,21:15,72.5,0.0
bicycle,600,leichtag family foundation,09/03/2024,08:17,64.0,0.0
scooter,400,main gymnasium,09/06/2024,19:30,71.0,0.0
bicycle,939,piedra - 9th floor,09/13/2024,12:00,66.4,0.0
bicycle,100,frankfurter hall,09/14/2024,15:25,65.2,0.0
bicycle,300),geneva hall,09/21/2024,02:43,66.5,0.0
bicycle,1800,geneva hall,09/21/2024,15:45,62.2,0.0
scooter,600,target-pc  on matthews lane,09/25/2024,20:22,60.4,0.0
scooter,500,center hall,09/26/2024,11:25,64.9,0.0
scooter,350,copa vida café,09/26/2024,11:40,64.9,0.0
scooter,1000,peterson hall,09/26/2024,19:04,61.3,0.0
bicycle,310,canyonview pool,09/23/2024,11:27,66.6,0.0
scooter,500,mandeville lane,09/27/2024,10:11,66.1,0.0
scooter,700,design and innovation building,09/27/2024,20:16,61.0,0.0
scooter,300,gymnasium,09/28/2024,12:25,63.2,0.0
bicycle,985,vela,09/30/2024,02:45,66.7,0.0
bicycle,120,vela,09/28/2024,22:40,57.8,0.0
scooter,350,rita atkinson residences,09/30/2024,12:32,65.4,0.0
bicycle,850,torrey pines center - south,09/24/2024,00:00,64.0,0.0
scooter,400,peterson hall,09/30/2024,17:25,62.8,0.0
scooter,377,design and innovation building,09/30/2024,19:02,60.4,0.0
scooter,-1,peterson hall,09/30/2024,16:25,63.1,0.0
scooter,300,mandeville lane,09/30/2024,17:35,62.8,0.0
bicycle,800,la jolla del sol apartments,08/01/2024,02:30,72.9,0.0
bicycle,75,central mesa apartments,08/01/2024,04:00,73.9,0.0
scooter,200,douglas apartments,08/06/2024,01:30,71.5,0.0
scooter,400,neighborhood - warren,08/07/2024,17:45,65.4,0.0
scooter,420,york hall,08/08/2024,11:35,70.8,0.0
bicycle,-1,3192 biomedical sciences way,08/08/2024,12:00,68.3,0.0
scooter,-1,pepper canyon drive/ voigt drive,08/09/2024,07:45,76.2,0.0
bicycle,70,ola parking,08/09/2024,03:15,75.0,0.0
bicycle,500,pharmaceutical sciences building,08/09/2024,10:45,71.6,0.0
bicycle,400,geisel library,08/12/2024,16:21,68.8,0.0
bicycle,2000,mandler hall,08/13/2024,20:15,65.9,0.0
scooter,150,price center plaza,08/14/2024,08:45,77.7,0.0
scooter,500,black's beach - parking lot,08/14/2024,16:00,67.4,0.0
bicycle,500,"1 miramar street, building 1",08/08/2024,07:15,76.0,0.0
bicycle,310,fan-fan rw academic building,08/15/2024,20:10,64.5,0.0
scooter,1,9500 gilman dr,08/19/2024,16:15,68.2,0.0
bicycle,450,computer science and engineering building,08/21/2024,19:30,65.8,0.0
bicycle,400,piedra building,08/21/2024,12:00,69.8,0.0
bicycle,900,center for memory and recording research,08/25/2024,21:00,61.7,0.0
scooter,-1,humanities & social sciences building,08/25/2024,03:30,67.0,0.0
scooter,-1,rimac,08/26/2024,21:33,59.3,0.0
bicycle,499,franklin antonio hall,08/27/2024,13:30,64.7,0.0
bicycle,1000,miramar street,06/01/2024,12:52,61.0,0.0
bicycle,73,miramar street,06/01/2024,14:31,61.0,0.0
bicycle,200,miramar street,06/01/2024,02:30,58.6,0.0
bicycle,-1,argo hall,06/02/2024,03:25,63.1,0.0
bicycle,1000,jacobs hall,06/02/2024,15:30,60.0,0.0
scooter,350,humanities &social sciences,06/04/2024,16:10,59.5,0.0
scooter,500,york hall,05/29/2024,16:30,65.4,0.0
bicycle,420,parking lot p703,06/05/2024,09:00,76.6,0.0
scooter,399,peterson hall,05/29/2024,14:27,64.9,0.0
bicycle,125,la jolla del sol apartments,06/06/2024,02:30,67.0,0.0
scooter,550,physics and mathematics building,06/07/2024,15:30,59.9,0.0
scooter,2300,center hall,06/08/2024,09:00,59.1,0.0
bicycle,650,galathea hall,06/06/2024,06:00,63.6,0.0
scooter,451,design and innovation building,06/08/2024,20:25,64.8,0.0
bicycle,300,geisel library,06/10/2024,20:30,59.7,0.0
scooter,300,rwac,06/10/2024,15:37,59.6,0.0
scooter,440,sixth market,06/10/2024,14:30,58.2,0.0
bicycle,4000,parking lot p418,06/10/2024,09:06,68.0,0.0
scooter,750,trolley - central campus station,06/10/2024,20:37,58.8,0.0
scooter,700,geisel library,06/10/2024,01:00,65.6,0.0
scooter,529,york hall -  station,06/11/2024,13:00,61.3,0.0
scooter,399,mesa apartments,06/07/2024,16:00,67.6,0.0
bicycle,350,nuevo ,06/10/2024,21:50,71.3,0.0
scooter,500,africa hall,05/09/2024,02:00,61.0,0.0
scooter,600,gilman drive,06/13/2024,16:00,59.3,0.0
bicycle,-1,structural & material engineering building,06/04/2024,17:15,61.5,0.0
bicycle,150,the trove,06/27/2024,15:04,61.7,0.0
bicycle,200,piedra,01/03/2024,12:00,50.1,0.3
scooter,400,trolley - central campus station,01/06/2024,04:30,62.9,0.0
scooter,760,tioga hall,12/27/2023,03:30,61.9,0.0
scooter,800,africa hall,01/06/2024,19:30,52.8,0.3
scooter,750,price center,01/06/2024,18:07,53.2,0.0
scooter,700,trolley - central campus station,01/07/2024,16:37,43.0,0.0
scooter,1200,price center  - target,01/07/2024,19:35,40.5,0.0
bicycle,1750,galathea hall,12/27/2023,20:00,52.1,0.0
scooter,600,warren lecture hall,01/08/2024,17:45,41.2,0.0
scooter,549,tioga,12/28/2023,11:00,54.1,0.0
bicycle,440,seventh college ,06/28/2024,01:30,55.9,1.5
scooter,600,russell lane,01/09/2024,13:13,54.1,0.1
scooter,399,pepper canyon apartments,01/09/2024,17:30,57.3,0.0
bicycle,300,galathea hall,01/10/2024,11:30,55.5,0.1
bicycle,250,piedra,12/31/2023,00:00,56.7,0.2
bicycle,900,price center  - target,01/11/2024,17:10,52.5,0.2
bicycle,400,conrad prebys music center,01/10/2024,17:30,56.9,0.0
scooter,240,café ventanas,01/11/2024,20:15,55.9,0.0
scooter,700,rimac,01/12/2024,12:07,55.1,0.0
scooter,380,price center  - the trove,01/12/2024,16:43,53.4,0.0
bicycle,800,fan-fan-rw academic building,01/12/2024,12:30,51.2,0.0
bicycle,500,structural and material engineering building,01/14/2024,16:30,53.8,0.0
bicycle,220,matthews apartments,07/17/2023,17:00,54.5,0.0
scooter,699,center hall,01/16/2024,16:10,48.1,0.0
scooter,1200,galbraith hall,01/18/2024,10:55,46.9,0.0
scooter,650,fan-fan-rw academic building,01/18/2024,19:15,54.8,0.0
bicycle,800,kaleidoscope,01/19/2024,15:00,54.4,0.0
bicycle,670,argo hall,01/15/2024,05:00,49.7,0.0
scooter,450,canyon vista,01/20/2024,04:30,53.7,0.0
scooter,400,canyonview aquatic & climbing wall facility,01/20/2024,20:56,50.1,0.0
scooter,800,rimac,01/20/2024,22:05,70.1,0.0
bicycle,249,la jolla del sol apartments,01/19/2024,19:00,45.9,0.0
scooter,450,trolley - central campus station,01/21/2024,15:15,44.2,0.0
bicycle,449,pepper canyon apartments,01/20/2024,20:02,53.1,0.0
scooter,599,geisel library,01/21/2024,19:17,54.1,0.1
scooter,400,peterson hall,01/22/2024,17:25,42.8,0.0
bicycle,700,brisa,01/21/2024,13:30,54.2,0.0
bicycle,45,cala,01/21/2024,12:45,40.6,0.0
scooter,400,franklin antonio hall,01/23/2024,14:00,48.4,0.0
bicycle,300,astilla,01/23/2024,16:43,44.0,0.0
scooter,500,trolley - central campus station,01/23/2024,19:00,48.4,0.0
scooter,600,blake hall,01/24/2024,16:07,45.7,0.0
scooter,1000,geisel library,01/24/2024,18:30,67.6,0.0
scooter,420,main gymnasium,01/25/2024,19:35,53.7,0.0
scooter,299,geisel library,01/25/2024,20:45,57.7,0.0
bicycle,300,viento,01/24/2024,11:30,49.9,0.0
scooter,700,muir biology building,01/26/2024,12:15,55.0,0.0
scooter,130,atkinson hall,01/26/2024,19:07,60.4,0.0
scooter,240,seventh college  #1,01/28/2024,00:17,60.0,0.7
scooter,400,charles david keeling apartments,01/28/2024,19:48,55.5,0.1
scooter,680,latin america hall,01/28/2024,23:01,49.6,0.0
scooter,700,asante house,01/29/2024,04:00,69.5,0.0
scooter,200,peterson hall,01/30/2024,08:40,63.1,0.0
scooter,600,mandeville center,01/30/2024,10:10,56.6,0.0
scooter,700,geisel library,01/31/2024,16:35,53.1,0.0
bicycle,200,gilman drive,05/01/2024,23:30,57.0,0.0
bicycle,410,seventh college,05/02/2024,03:15,67.2,0.0
scooter,800,matthews apartments,05/04/2024,08:30,65.8,0.0
scooter,450,preuss school,05/01/2024,13:00,59.1,0.0
scooter,900,9330 eucalyptus lane,05/06/2024,12:00,59.2,0.0
scooter,537,pepper canyon hall,04/29/2024,23:45,62.6,0.0
bicycle,-1,piedra apartments,05/06/2024,15:30,58.5,0.0
bicycle,400,jacobs medical center,05/08/2024,11:00,57.8,0.0
scooter,-1,trolley - central campus,05/08/2024,16:42,58.2,0.0
scooter,700,geisel library,05/08/2024,17:00,59.5,0.0
scooter,2000,seventh college ,05/09/2024,07:00,58.6,0.0
scooter,470,peterson hall,05/09/2024,19:45,59.5,0.0
bicycle,200,library walk,04/22/2024,02:00,55.3,0.0
bicycle,700,trolley - central campus station,05/12/2024,17:15,56.5,0.0
scooter,400,pepper canyon hall,05/14/2024,19:10,65.0,0.0
bicycle,2000,europe hall,05/12/2024,10:10,64.0,0.0
scooter,250,pepper canyon hall,05/17/2024,14:25,60.8,0.0
scooter,-1,uc san diego campus,05/17/2024,12:00,55.5,0.0
bicycle,400,applied physics and mathematics,05/17/2024,16:40,58.6,0.0
scooter,800,beagle hall,05/18/2024,13:40,58.0,0.0
scooter,450,trolley - central campus station,05/18/2024,17:02,58.9,0.0
bicycle,270,york hall,05/18/2024,14:00,58.6,0.0
scooter,450,trolley - central campus station,05/19/2024,19:00,58.6,0.0
bicycle,175,franklin antonio hall,05/19/2024,16:30,55.3,0.0
bicycle,2000,mesa apartments - south,05/19/2024,03:30,66.7,0.0
bicycle,300,cala,05/18/2024,02:00,56.0,0.0
scooter,600,center hall - outside ,05/21/2024,11:00,56.0,0.0
scooter,500,center hall,05/21/2024,17:40,61.0,0.0
scooter,350,pepper canyon hall,05/22/2024,17:27,57.6,0.0
scooter,400,rimac,05/21/2024,14:00,56.8,0.0
bicycle,369,geisel library,05/22/2024,23:50,67.4,0.0
bicycle,2000,kaleidoscope,05/23/2024,14:15,55.2,0.0
scooter,479,ridge walk academic complex,05/23/2024,15:30,61.3,0.0
bicycle,300,computer science & engineering building,05/19/2024,19:27,57.5,0.0
scooter,300,hopkins drive,05/27/2024,07:30,58.4,0.0
bicycle,700,douglas hall - ,05/27/2024,04:10,66.8,0.0
scooter,350,center hall,05/28/2024,10:10,61.3,0.0
scooter,700,brisa - 4th floor,05/30/2024,08:40,66.8,0.0
scooter,80,dib makerspace/ lyman lane,05/30/2024,13:15,58.9,0.0
bicycle,1600,rimac,02/01/2024,11:42,51.5,0.1
bicycle,220,atlantis hall,02/01/2024,04:00,55.9,3.1
scooter,400,center hall,02/01/2024,20:45,50.3,0.1
scooter,300,center hall,02/02/2024,11:20,53.7,0.0
bicycle,365,seventh college,02/02/2024,14:37,53.2,0.1
scooter,-1,rita atkinson,01/31/2024,12:00,53.5,0.0
bicycle,300,artesa,01/23/2024,03:00,47.0,0.0
scooter,400,rita atkinson residences,02/04/2024,16:30,42.1,0.0
scooter,600,geisel library,02/05/2024,14:30,39.9,0.0
scooter,270,geisel library,02/06/2024,12:15,42.4,0.0
bicycle,300,regents road,02/07/2024,14:52,57.4,0.1
scooter,1050,applied physics & mathematics,02/08/2024,15:50,53.7,0.0
bicycle,600,structural & material engineering building,02/08/2024,14:15,51.9,0.0
scooter,700,center hall,02/08/2024,19:45,48.3,0.0
scooter,500,humanities & social sciences building,02/08/2024,11:40,48.1,0.0
bicycle,500,price center  - the trove,02/08/2024,22:45,47.7,0.0
scooter,750,trolley - central campus station,02/09/2024,16:15,61.7,0.0
bicycle,900,viento,02/11/2024,17:10,55.8,0.0
bicycle,1035,kaleidoscope,02/11/2024,23:27,53.6,2.2
scooter,506,goldberg apartments,02/12/2024,17:30,50.3,0.4
bicycle,150,torrey pines center south - parking,02/05/2024,00:00,54.0,0.0
scooter,500,humanities & social sciences,02/13/2024,13:10,49.5,0.2
scooter,500,solis hall,02/15/2024,12:22,49.3,0.1
scooter,600,geisel library,02/15/2024,18:30,47.2,0.1
scooter,289,solis hall,02/15/2024,20:14,50.9,0.0
scooter,300,gilman drive,02/15/2024,19:35,48.2,0.3
bicycle,1300,asia hall,02/16/2024,04:30,61.3,0.0
scooter,280,10065 scholars drive north,02/15/2024,15:30,52.3,0.0
scooter,400,rw academic building - copa vida café,02/15/2024,19:00,47.7,0.0
bicycle,199,center hall,02/17/2024,12:00,50.8,0.0
scooter,-1,galbraith hall,02/21/2024,12:00,53.1,0.0
scooter,900,biology building,02/22/2024,16:47,51.0,0.0
scooter,450,pacific hall,02/22/2024,17:00,49.5,0.0
bicycle,500,trolley - central campus station,02/22/2024,16:50,51.0,0.0
scooter,1819,mesa apartments south,02/23/2024,04:45,65.0,0.0
bicycle,800,asia hall,02/22/2024,17:35,49.5,0.0
scooter,-1,trolley - central campus station,02/24/2024,19:19,55.8,0.0
scooter,260,trolley - central campus station,02/24/2024,20:48,54.4,0.0
scooter,270,mandeville center,02/24/2024,21:33,50.5,0.0
bicycle,900,la jolla del sol apartments,02/24/2024,00:00,50.7,0.0
scooter,700,canyon vista,02/24/2024,14:07,50.1,0.0
scooter,799,theatre district,02/26/2024,09:50,50.1,0.0
scooter,900,frankfurter hall,02/26/2024,17:30,49.4,0.0
scooter,600,pepper canyon hall,02/26/2024,18:45,50.7,0.0
scooter,360,pepper canyon hall,02/26/2024,18:45,50.3,0.0
scooter,240,rimac,02/25/2024,14:22,52.4,0.0
scooter,220,exploration drive,02/28/2024,12:30,51.4,0.0
scooter,500,wells fargo hall,02/29/2024,16:40,62.1,0.0
scooter,830,rimac,03/04/2024,18:30,59.4,0.0
scooter,-1,canyon view aquatic & climbing wall,03/05/2024,16:00,59.4,0.0
bicycle,3000,moores cancer center,03/05/2024,17:07,60.3,0.0
scooter,700,geisel library,03/05/2024,19:40,54.2,0.0
scooter,574,geisel library,03/07/2024,19:07,61.3,0.0
bicycle,350,canyonview rec/ athletics administration,03/08/2024,15:37,67.6,0.0
scooter,550,russell ln,03/08/2024,17:07,58.0,0.0
scooter,370,pines resturant,03/08/2024,23:27,62.4,0.0
scooter,320,sally t. wongavery library,03/10/2024,14:15,53.6,0.0
bicycle,168,conrad prebys music center,03/10/2024,20:07,52.0,0.0
scooter,300,franklin antonio hall,03/11/2024,15:10,52.2,0.0
bicycle,200,argo hall,03/07/2024,16:45,50.5,0.0
bicycle,200,argo hall,03/07/2024,04:45,59.1,0.3
scooter,350,lyman lane,03/12/2024,17:25,54.2,0.0
scooter,400,center hall,03/13/2024,21:27,48.7,0.0
scooter,900,warren lecture hall,03/13/2024,15:05,52.3,0.0
bicycle,355,charles david keeling apartments,03/14/2024,04:52,61.2,0.0
scooter,370,pines restaurant,03/08/2024,23:27,52.4,0.0
bicycle,1000,israni biomedical research facility,03/14/2024,13:00,52.5,0.0
bicycle,200,discovery way,03/16/2024,07:50,51.2,0.0
bicycle,1100,mesa apartments central,03/16/2024,02:00,50.9,0.0
bicycle,100,keeling building,03/16/2024,02:05,57.4,0.0
bicycle,150,blake hall,03/17/2024,03:30,53.8,0.0
scooter,600,rimac - liontree arena,03/18/2024,15:40,56.8,0.0
bicycle,599,mesa apartments central,03/16/2024,08:07,52.7,0.0
bicycle,200,mesa apartments central,05/02/2024,06:45,53.5,0.0
scooter,220,recreation gymnasium,03/19/2024,12:37,53.5,0.0
bicycle,300,center hall,03/18/2024,02:42,55.6,0.0
bicycle,2500, campus office building,03/19/2024,13:37,56.8,0.0
bicycle,1000,ridge walk academic building,03/12/2024,17:30,54.2,0.0
scooter,900,otterson hall,03/21/2024,15:25,53.2,0.0
bicycle,500,geisel library,03/22/2024,01:00,57.4,0.0
scooter,400,solis hall,03/22/2024,09:00,62.4,0.0
scooter,450,ledden auditorium,03/22/2024,16:30,55.9,0.0
scooter,700,main gym,03/22/2024,21:21,54.2,0.0
bicycle,500,cala,02/21/2024,12:30,53.1,0.0
bicycle,700,trolley - central campus station,03/29/2024,02:30,57.4,0.0
scooter,300,design & innovation building,03/31/2024,12:00,51.2,0.0
bicycle,150,geisel library,06/27/2024,12:22,48.2,0.0
scooter,-1,mesa apartments central,06/28/2024,12:00,56.2,0.0
scooter,-1,cala - 1st floor lobby,07/03/2024,16:32,58.9,0.0
scooter,350,school of medicine building 1,07/04/2024,09:30,54.9,0.0
bicycle,-1,jacobs medical center,07/03/2024,16:00,57.5,0.0
scooter,799,kaleidoscope,07/04/2024,18:37,53.0,0.0
bicycle,150,stein clinical research building,07/07/2024,09:00,51.3,0.0
scooter,600,mesa verde hall,07/13/2024,10:28,58.3,0.0
bicycle,3500,design and innovation lane,07/18/2024,15:53,57.3,0.0
scooter,-1,mayer hall,07/18/2024,14:00,52.7,0.0
scooter,100,target,07/19/2024,10:18,72.3,0.0
bicycle,400,mesa apartments south,07/23/2024,04:15,77.0,0.0
scooter,300,mesa apartments south,07/23/2024,12:45,70.3,0.0
bicycle,20,trolley - central campus station,07/25/2024,22:00,68.8,0.0
scooter,400,trolley- central campus station,01/27/2024,20:34,50.6,0.0
scooter,380,york hall,07/30/2024,17:25,63.0,0.0
scooter,400,scholars drive n,04/01/2024,22:30,47.2,0.0
bicycle,350,canyon vista,02/29/2024,03:55,60.2,0.0
scooter,500,trolley - central campus station,04/01/2024,08:42,59.7,0.0
bicycle,250,theatre district drive,04/01/2024,01:50,54.8,0.0
bicycle,1500,price center,04/01/2024,17:46,66.6,0.0
bicycle,500,center hall,04/02/2024,13:05,65.0,0.0
bicycle,190,rita atkinson,03/18/2024,01:15,67.4,0.0
scooter,213,atkinson hall,04/03/2024,13:20,72.1,0.0
scooter,270,social sciences building,04/03/2024,11:32,67.4,0.0
scooter,300,thurgood marshall,04/05/2024,03:22,64.9,0.0
scooter,300,otterson hall,04/05/2024,11:30,72.6,0.0
scooter,400,seventh college  #1,04/06/2024,04:45,71.2,0.0
bicycle,800,seventh college  #7,04/07/2024,02:22,66.2,0.0
scooter,400,social sciences building,04/04/2024,15:15,66.8,0.0
bicycle,-1,trolley - central campus,04/08/2024,19:35,46.9,0.0
scooter,1049,marshall upper apartments,04/09/2024,04:25,69.5,0.0
scooter,999,pines dining hall,04/10/2024,08:20,70.4,0.0
scooter,250,ridge walk academic,04/09/2024,17:45,52.0,0.0
bicycle,300,trolley - central campus station,04/11/2024,11:55,59.2,0.0
scooter,-1,trolley - la jolla health station,04/07/2024,11:17,54.3,0.0
bicycle,50,coast graduate housing,04/13/2024,07:30,61.5,0.0
bicycle,840,pepper canyon apartments,04/14/2024,07:45,59.7,0.2
bicycle,1000,argo hall,04/14/2024,09:45,59.0,0.1
bicycle,2500,earth hall south,04/14/2024,17:00,52.5,0.2
scooter,200,pepper canyon hall,04/16/2024,12:52,59.0,0.0
scooter,300,"one miramar street, building 4",04/19/2024,05:45,65.1,0.0
bicycle,100,torrey pines center - south,02/25/2024,00:00,56.9,0.0
scooter,300,innovation lane,04/20/2024,03:00,62.4,0.0
scooter,2500,viento,04/20/2024,12:50,57.7,0.0
bicycle,900,tenaya hall,04/21/2024,04:22,64.9,0.0
bicycle,1000,conrad prebys music center,04/19/2024,15:30,54.9,0.0
bicycle,250,seventh college,04/17/2024,05:00,68.9,0.0
bicycle,-1,neighborhood - coast apartments,04/23/2024,14:24,57.5,0.0
scooter,275,9515 gilman drive - ,04/25/2024,09:50,62.0,0.0
bicycle,65,"1 miramar street complex, between building #1 & #2",04/25/2024,12:36,53.8,0.0
bicycle,200,latin america hall & north america hall,03/27/2024,12:00,55.0,0.0
scooter,280,applied physics and mathematics,04/26/2024,16:00,55.6,0.0
bicycle,50,argo hall,04/26/2024,16:03,53.8,0.0
scooter,250,gilman drive,04/27/2024,05:10,57.0,0.0
bicycle,500,warren lecture hall,04/28/2024,13:00,53.7,0.0
scooter,-1,main gym,04/28/2024,19:02,64.5,0.0
bicycle,900,"one miramar street, building 1",04/24/2024,04:00,64.5,0.0
scooter,520,cater hall,04/29/2024,17:42,64.0,0.0
bicycle,500,peterson hall,04/29/2024,14:22,63.3,0.0
scooter,250,geisel library,04/29/2024,20:50,57.3,0.0
scooter,479,trolley - central campus station,04/29/2024,18:15,55.0,0.0
scooter,500,geisel library,04/29/2024,17:57,56.7,0.0
scooter,800,geisel library,04/29/2024,20:27,56.7,0.0
bicycle,-1,scholars drive north,04/30/2024,15:28,63.6,0.0
scooter,750,trolley - central campus station,04/30/2024,21:07,58.3,0.0
scooter,1000,pepper canyon hall,10/02/2024,17:45,52.1,0.0
scooter,295,ledden auditorium,10/02/2024,17:25,64.9,0.0
scooter,300,geisel library,10/02/2024,19:12,55.6,0.0
scooter,235,jacobs hall,10/03/2024,17:19,57.7,0.0
scooter,-1,york hall,10/04/2024,13:33,64.5,0.0
scooter,500,galbraith hall,10/04/2024,11:55,64.8,0.0
bicycle,350,miramar street,10/04/2024,14:05,64.2,0.0
scooter,538,peterson hall,10/04/2024,14:15,64.2,0.0
bicycle,300,seventh college  #6,10/05/2024,01:45,62.6,0.0
