type,price,location,date,time,weather,rain
bicycle,750,gilman parking structure,03/11/2022,20:45,43.5,0.0
bicycle,-1,pepper canyon lodge,03/17/2022,00:00,43.5,0.0
bicycle,600,gilman dr,03/12/2022,22:55,62.5,0.0
bicycle,400,goldberg hall  ,03/17/2022,02:15,45.6,0.0
bicycle,1115,unex o,03/21/2022,14:15,51.0,0.0
bicycle,450,social sciences building,03/21/2022,15:00,50.5,0.0
bicycle,70,harlan hall,03/26/2022,04:00,45.6,0.0
bicycle,200,rita atkinson ,02/03/2022,00:30,67.7,0.0
bicycle,300,central campus ,03/29/2022,20:15,45.6,0.0
scooter,500,north center hall ,03/30/2022,15:25,66.6,0.0
bicycle,200,the trove - ,03/31/2022,13:50,45.6,0.0
bicycle,1000,la jolla del sol apts,03/31/2022,13:32,52.5,0.0
bicycle,150,center hall ,03/31/2022,17:22,44.7,0.0
scooter,300,arts and humanities,12/01/2022,08:20,64.1,0.0
bicycle,600,engineering building,12/02/2022,00:30,56.4,0.0
bicycle,600,jacobs hall,12/02/2022,23:30,47.9,0.0
bicycle,150,voigt dr,12/04/2022,15:55,57.8,0.0
scooter,700,liontree arena,12/06/2022,08:07,57.1,0.0
scooter,700,atlantis hall,12/06/2022,03:45,59.0,0.2
bicycle,849,nuevo ,12/06/2022,16:56,54.3,0.0
bicycle,140,cse building,12/06/2022,16:30,54.3,0.0
bicycle,300,geneva hall,12/06/2022,13:55,55.1,0.0
scooter,400,pepper canyon hall,12/07/2022,19:00,44.2,0.0
bicycle,-1,voigt dr/ matthews ln,12/07/2022,17:01,45.9,0.0
scooter,800,pangea parking structure,12/07/2022,18:34,45.1,0.0
scooter,1600,ucsd police department,12/07/2022,14:30,45.8,0.0
scooter,499,nuevo  - exchange,12/10/2022,20:30,55.5,0.0
bicycle,250,trolley - central campus stop,12/11/2022,13:55,62.5,0.0
scooter,550,goldberg hall,12/16/2022,00:00,58.8,0.0
bicycle,500,va hospital,12/16/2022,19:28,54.1,0.0
scooter,300,trolley - central campus stop,12/18/2022,10:55,54.1,0.0
bicycle,-1,villa la jolla dr/ gilman dr,12/19/2022,19:50,53.2,0.0
bicycle,1500,voigt dr,12/23/2022,18:40,50.8,0.0
scooter,405,regents rd,12/28/2022,05:30,52.0,0.0
bicycle,50,scholars dr north,12/21/2021,21:00,58.6,0.0
bicycle,107,mesa nueva,12/20/2021,14:00,50.1,0.0
bicycle,150,matthews apt d - ,01/02/2022,02:00,53.7,0.0
bicycle,299,seventh college bldg 3,01/02/2022,13:20,45.9,0.0
bicycle,200,charles david keeling apt 1,12/24/2021,14:25,53.6,0.0
bicycle,380,charles david keeling apt 1,12/22/2021,13:15,55.5,0.0
bicycle,542,seventh college,12/23/2021,12:25,53.7,2.4
bicycle,800,canyon view aquatic & climbing wall,01/03/2022,17:13,41.7,0.0
bicycle,400,structural and material engineering bldg,01/03/2022,22:30,41.3,0.0
bicycle,500,structural and material engineering bldg,01/04/2022,00:21,44.2,0.0
bicycle,600,one miramar st bldg,01/04/2022,08:40,56.2,0.0
bicycle,300,seventh college  #6,01/03/2022,12:30,49.6,0.0
bicycle,900,erc africa hall,12/22/2021,13:30,58.5,0.1
bicycle,400,capa,01/05/2022,05:00,46.2,0.0
bicycle,280,tioga hall,01/04/2022,05:00,52.0,0.0
scooter,650,challenger hall,01/05/2022,09:15,54.3,0.0
bicycle,1500,one miramar st bldg 3,01/05/2022,09:45,57.7,0.0
bicycle,700,ucsd police department,01/07/2022,16:19,53.8,0.0
bicycle,200,nuevo  - brisa,01/06/2022,17:15,49.8,0.1
bicycle,600,seventh college ,12/26/2021,00:00,58.8,0.5
bicycle,250,nuevo  - piedra,12/20/2021,03:00,57.1,0.2
bicycle,1100,one miramar st bldg 1,01/08/2022,14:22,48.9,0.0
bicycle,300,sixth college,12/23/2021,07:30,50.5,0.0
bicycle,250,one miramar st bldg 4,01/08/2022,20:55,50.9,0.0
bicycle,2200,seventh college ,01/07/2022,11:00,50.9,0.0
bicycle,700,price center,01/12/2022,18:50,41.5,0.0
bicycle,-1,price center,01/13/2022,13:05,52.7,0.0
bicycle,400,price center,01/13/2022,18:45,42.7,0.0
bicycle,350,scholars dr north,12/28/2021,12:55,44.3,0.0
bicycle,500,warren lecture hall,01/16/2022,10:10,60.4,0.0
scooter,625,marshall lowers,01/16/2022,19:45,48.6,0.0
bicycle,1000,seventh college  bldg 1,06/30/2022,08:45,50.5,0.0
bicycle,800,matthews apartments,01/16/2022,14:40,56.8,0.0
bicycle,550,ntpll - tapestry,12/29/2021,13:30,74.4,0.0
scooter,830,structural and material engineering bldg,01/18/2022,11:22,63.1,0.0
bicycle,300,price center,01/18/2022,14:17,50.4,0.0
bicycle,1394,thurgood marshall res hall,01/17/2022,20:30,50.4,0.0
bicycle,250,tioga hall,01/19/2022,15:20,52.7,0.0
scooter,400,asante hall ,01/20/2022,02:20,67.0,0.0
bicycle,300,warren black hall  ,01/20/2022,12:55,47.8,0.0
scooter,400,canyon vista admin,01/19/2022,15:15,54.6,0.0
bicycle,350,one miramar street,12/28/2021,16:30,74.9,0.0
bicycle,300,tioga hall,01/20/2022,01:07,56.8,0.1
scooter,280,gilman dr,07/22/2021,08:35,51.8,0.0
bicycle,569,douglas hall,01/21/2021,04:15,55.3,0.0
scooter,549,ucsd central campus trolley station,01/21/2022,19:20,53.4,0.0
bicycle,100,pangea dr,01/21/2022,19:27,55.0,0.1
bicycle,400,pepper canyon lodge,01/21/2022,12:00,51.4,0.0
bicycle,730,sanford consortium parking lot,01/14/2022,02:00,61.3,0.0
scooter,400,geisel library ,01/22/2022,16:19,52.9,0.0
bicycle,400,marshall uppers,01/23/2022,11:15,51.4,0.0
bicycle,198,camp snoopy residence hall,01/12/2022,16:25,52.5,0.0
bicycle,500,stewart hall,01/02/2022,00:30,45.1,0.0
bicycle,300,seventh college ,07/01/2021,19:15,63.5,0.0
bicycle,400,geisel library,01/26/2022,13:19,51.1,0.0
bicycle,1499,muir college dr,01/26/2022,21:00,42.3,0.0
bicycle,1000,justice lane,01/28/2022,02:00,64.6,0.0
