type,price,location,date,time
scooter,500,black's beach - parking lot,08/14/2024,16:00
bicycle,500,"1 miramar street, building 1",08/08/2024,07:15
bicycle,310,fan-fan rw academic building,08/15/2024,20:10
scooter,1,9500 gilman dr,08/19/2024,16:15
bicycle,450,computer science and engineering building,08/21/2024,19:30
bicycle,400,piedra building,08/21/2024,12:00
bicycle,900,center for memory and recording research,08/25/2024,21:00
scooter,-1,humanities & social sciences building,08/25/2024,03:30
scooter,-1,rimac,08/26/2024,21:33
bicycle,499,franklin antonio hall,08/27/2024,13:30
bicycle,1000,miramar street,06/01/2024,12:52
bicycle,73,miramar street,06/01/2024,14:31
bicycle,200,miramar street,06/01/2024,02:30
bicycle,-1,argo hall,06/02/2024,03:25
bicycle,1000,jacobs hall,06/02/2024,15:30
scooter,350,humanities &social sciences,06/04/2024,16:10
scooter,500,york hall,05/29/2024,16:30
bicycle,420,parking lot p703,06/05/2024,09:00
scooter,399,peterson hall,05/29/2024,14:27
bicycle,125,la jolla del sol apartments,06/06/2024,02:30
scooter,550,physics and mathematics building,06/07/2024,15:30
scooter,2300,center hall,06/08/2024,09:00
bicycle,650,galathea hall,06/06/2024,06:00
scooter,451,design and innovation building,06/08/2024,20:25
bicycle,300,geisel library,06/10/2024,20:30
scooter,300,rwac,06/10/2024,15:37
scooter,440,sixth market,06/10/2024,14:30
bicycle,4000,parking lot p418,06/10/2024,09:06
scooter,750,trolley - central campus station,06/10/2024,20:37
scooter,700,geisel library,06/10/2024,01:00
scooter,529,york hall -  station,06/11/2024,13:00
scooter,399,mesa apartments,06/07/2024,16:00
bicycle,350,nuevo ,06/10/2024,21:50
scooter,500,africa hall,05/09/2024,02:00
scooter,600,gilman drive,06/13/2024,16:00
bicycle,-1,structural & material engineering building,06/04/2024,17:15
bicycle,150,the trove,06/27/2024,15:04
bicycle,200,piedra,01/03/2024,12:00
scooter,400,trolley - central campus station,01/06/2024,04:30
scooter,760,tioga hall,12/27/2023,03:30
scooter,800,africa hall,01/06/2024,19:30
scooter,750,price center,01/06/2024,18:07
scooter,700,trolley - central campus station,01/07/2024,16:37
scooter,1200,price center  - target,01/07/2024,19:35
bicycle,1750,galathea hall,12/27/2023,20:00
scooter,600,warren lecture hall,01/08/2024,17:45
scooter,549,tioga,12/28/2023,11:00
bicycle,440,seventh college ,06/28/2024,01:30
scooter,600,russell lane,01/09/2024,13:13
scooter,399,pepper canyon apartments,01/09/2024,17:30
bicycle,300,galathea hall,01/10/2024,11:30
bicycle,250,piedra,12/31/2023,00:00
bicycle,900,price center  - target,01/11/2024,17:10
bicycle,400,conrad prebys music center,01/10/2024,17:30
scooter,240,café ventanas,01/11/2024,20:15
scooter,700,rimac,01/12/2024,12:07
scooter,380,price center  - the trove,01/12/2024,16:43
bicycle,800,fan-fan-rw academic building,01/12/2024,12:30
bicycle,500,structural and material engineering building,01/14/2024,16:30
bicycle,220,matthews apartments,07/17/2023,17:00
scooter,699,center hall,01/16/2024,16:10
scooter,1200,galbraith hall,01/18/2024,10:55
scooter,650,fan-fan-rw academic building,01/18/2024,19:15
bicycle,800,kaleidoscope,01/19/2024,15:00
bicycle,670,argo hall,01/15/2024,05:00
scooter,450,canyon vista,01/20/2024,04:30
scooter,400,canyonview aquatic & climbing wall facility,01/20/2024,20:56
scooter,800,rimac,01/20/2024,22:05
bicycle,249,la jolla del sol apartments,01/19/2024,19:00
scooter,450,trolley - central campus station,01/21/2024,15:15
bicycle,449,pepper canyon apartments,01/20/2024,20:02
scooter,599,geisel library,01/21/2024,19:17
scooter,400,peterson hall,01/22/2024,17:25
bicycle,700,brisa,01/21/2024,13:30
bicycle,45,cala,01/21/2024,12:45
scooter,400,franklin antonio hall,01/23/2024,14:00
bicycle,300,astilla,01/23/2024,16:43
scooter,500,trolley - central campus station,01/23/2024,19:00
scooter,600,blake hall,01/24/2024,16:07
scooter,1000,geisel library,01/24/2024,18:30
scooter,420,main gymnasium,01/25/2024,19:35
scooter,299,geisel library,01/25/2024,20:45
bicycle,300,viento,01/24/2024,11:30
scooter,700,muir biology building,01/26/2024,12:15
scooter,130,atkinson hall,01/26/2024,19:07
scooter,240,seventh college  #1,01/28/2024,00:17
scooter,400,charles david keeling apartments,01/28/2024,19:48
scooter,680,latin america hall,01/28/2024,23:01
scooter,700,asante house,01/29/2024,04:00
scooter,200,peterson hall,01/30/2024,08:40
scooter,600,mandeville center,01/30/2024,10:10
scooter,700,geisel library,01/31/2024,16:35
bicycle,200,gilman drive,05/01/2024,23:30
bicycle,410,seventh college,05/02/2024,03:15
scooter,800,matthews apartments,05/04/2024,08:30
scooter,450,preuss school,05/01/2024,13:00
scooter,900,9330 eucalyptus lane,05/06/2024,12:00
scooter,537,pepper canyon hall,04/29/2024,23:45
bicycle,-1,piedra apartments,05/06/2024,15:30
bicycle,400,jacobs medical center,05/08/2024,11:00
scooter,-1,trolley - central campus,05/08/2024,16:42
scooter,700,geisel library,05/08/2024,17:00
scooter,2000,seventh college ,05/09/2024,07:00
scooter,470,peterson hall,05/09/2024,19:45
bicycle,200,library walk,04/22/2024,02:00
bicycle,700,trolley - central campus station,05/12/2024,17:15
scooter,400,pepper canyon hall,05/14/2024,19:10
bicycle,2000,europe hall,05/12/2024,10:10
scooter,250,pepper canyon hall,05/17/2024,14:25
scooter,-1,uc san diego campus,05/17/2024,12:00
bicycle,400,applied physics and mathematics,05/17/2024,16:40
scooter,800,beagle hall,05/18/2024,13:40
scooter,450,trolley - central campus station,05/18/2024,17:02
bicycle,270,york hall,05/18/2024,14:00
scooter,450,trolley - central campus station,05/19/2024,19:00
bicycle,175,franklin antonio hall,05/19/2024,16:30
bicycle,2000,mesa apartments - south,05/19/2024,03:30
bicycle,300,cala,05/18/2024,02:00
scooter,600,center hall - outside ,05/21/2024,11:00
scooter,500,center hall,05/21/2024,17:40
scooter,350,pepper canyon hall,05/22/2024,17:27
scooter,400,rimac,05/21/2024,14:00
bicycle,369,geisel library,05/22/2024,23:50
bicycle,2000,kaleidoscope,05/23/2024,14:15
scooter,479,ridge walk academic complex,05/23/2024,15:30
bicycle,300,computer science & engineering building,05/19/2024,19:27
scooter,300,hopkins drive,05/27/2024,07:30
bicycle,700,douglas hall - ,05/27/2024,04:10
scooter,350,center hall,05/28/2024,10:10
scooter,700,brisa - 4th floor,05/30/2024,08:40
scooter,80,dib makerspace/ lyman lane,05/30/2024,13:15
bicycle,1600,rimac,02/01/2024,11:42
bicycle,220,atlantis hall,02/01/2024,04:00
scooter,400,center hall,02/01/2024,20:45
scooter,300,center hall,02/02/2024,11:20
bicycle,365,seventh college,02/02/2024,14:37
scooter,-1,rita atkinson,01/31/2024,12:00
bicycle,300,artesa,01/23/2024,03:00
scooter,400,rita atkinson residences,02/04/2024,16:30
scooter,600,geisel library,02/05/2024,14:30
scooter,270,geisel library,02/06/2024,12:15
bicycle,300,regents road,02/07/2024,14:52
scooter,1050,applied physics & mathematics,02/08/2024,15:50
bicycle,600,structural & material engineering building,02/08/2024,14:15
scooter,700,center hall,02/08/2024,19:45
scooter,500,humanities & social sciences building,02/08/2024,11:40
bicycle,500,price center  - the trove,02/08/2024,22:45
scooter,750,trolley - central campus station,02/09/2024,16:15
bicycle,900,viento,02/11/2024,17:10
bicycle,1035,kaleidoscope,02/11/2024,23:27
scooter,506,goldberg apartments,02/12/2024,17:30
bicycle,150,torrey pines center south - parking,02/05/2024,00:00
scooter,500,humanities & social sciences,02/13/2024,13:10
scooter,500,solis hall,02/15/2024,12:22
scooter,600,geisel library,02/15/2024,18:30
scooter,289,solis hall,02/15/2024,20:14
scooter,300,gilman drive,02/15/2024,19:35
bicycle,1300,asia hall,02/16/2024,04:30
scooter,280,10065 scholars drive north,02/15/2024,15:30
scooter,400,rw academic building - copa vida café,02/15/2024,19:00
bicycle,199,center hall,02/17/2024,12:00
scooter,-1,galbraith hall,02/21/2024,12:00
scooter,900,biology building,02/22/2024,16:47
scooter,450,pacific hall,02/22/2024,17:00
bicycle,500,trolley - central campus station,02/22/2024,16:50
scooter,1819,mesa apartments south,02/23/2024,04:45
bicycle,800,asia hall,02/22/2024,17:35
scooter,-1,trolley - central campus station,02/24/2024,19:19
scooter,260,trolley - central campus station,02/24/2024,20:48
scooter,270,mandeville center,02/24/2024,21:33
bicycle,900,la jolla del sol apartments,02/24/2024,00:00
scooter,700,canyon vista,02/24/2024,14:07
scooter,799,theatre district,02/26/2024,09:50
scooter,900,frankfurter hall,02/26/2024,17:30
scooter,600,pepper canyon hall,02/26/2024,18:45
scooter,360,pepper canyon hall,02/26/2024,18:45
scooter,240,rimac,02/25/2024,14:22
scooter,220,exploration drive,02/28/2024,12:30
scooter,500,wells fargo hall,02/29/2024,16:40
scooter,830,rimac,03/04/2024,18:30
scooter,-1,canyon view aquatic & climbing wall,03/05/2024,16:00
bicycle,3000,moores cancer center,03/05/2024,17:07
scooter,700,geisel library,03/05/2024,19:40
scooter,574,geisel library,03/07/2024,19:07
bicycle,350,canyonview rec/ athletics administration,03/08/2024,15:37
scooter,550,russell ln,03/08/2024,17:07
scooter,370,pines resturant,03/08/2024,23:27
scooter,320,sally t. wongavery library,03/10/2024,14:15
bicycle,168,conrad prebys music center,03/10/2024,20:07
scooter,300,franklin antonio hall,03/11/2024,15:10
bicycle,200,argo hall,03/07/2024,16:45
bicycle,200,argo hall,03/07/2024,04:45
scooter,350,lyman lane,03/12/2024,17:25
scooter,400,center hall,03/13/2024,21:27
scooter,900,warren lecture hall,03/13/2024,15:05
bicycle,355,charles david keeling apartments,03/14/2024,04:52
scooter,370,pines restaurant,03/08/2024,23:27
bicycle,1000,israni biomedical research facility,03/14/2024,13:00
bicycle,200,discovery way,03/16/2024,07:50
bicycle,1100,mesa apartments central,03/16/2024,02:00
bicycle,100,keeling building,03/16/2024,02:05
bicycle,150,blake hall,03/17/2024,03:30
scooter,600,rimac - liontree arena,03/18/2024,15:40
bicycle,599,mesa apartments central,03/16/2024,08:07
bicycle,200,mesa apartments central,05/02/2024,06:45
scooter,220,recreation gymnasium,03/19/2024,12:37
bicycle,300,center hall,03/18/2024,02:42
bicycle,2500, campus office building,03/19/2024,13:37
bicycle,1000,ridge walk academic building,03/12/2024,17:30
scooter,900,otterson hall,03/21/2024,15:25
bicycle,500,geisel library,03/22/2024,01:00
scooter,400,solis hall,03/22/2024,09:00
scooter,450,ledden auditorium,03/22/2024,16:30
scooter,700,main gym,03/22/2024,21:21
bicycle,500,cala,02/21/2024,12:30
bicycle,700,trolley - central campus station,03/29/2024,02:30
scooter,300,design & innovation building,03/31/2024,12:00
bicycle,150,geisel library,06/27/2024,12:22
scooter,-1,mesa apartments central,06/28/2024,12:00
scooter,-1,cala - 1st floor lobby,07/03/2024,16:32
scooter,350,school of medicine building 1,07/04/2024,09:30
bicycle,-1,jacobs medical center,07/03/2024,16:00
scooter,799,kaleidoscope,07/04/2024,18:37
bicycle,150,stein clinical research building,07/07/2024,09:00
scooter,600,mesa verde hall,07/13/2024,10:28
bicycle,3500,design and innovation lane,07/18/2024,15:53
scooter,-1,mayer hall,07/18/2024,14:00
scooter,100,target,07/19/2024,10:18
bicycle,400,mesa apartments south,07/23/2024,04:15
scooter,300,mesa apartments south,07/23/2024,12:45
bicycle,20,trolley - central campus station,07/25/2024,22:00
scooter,400,trolley- central campus station,01/27/2024,20:34
scooter,380,york hall,07/30/2024,17:25
scooter,400,scholars drive n,04/01/2024,22:30
bicycle,350,canyon vista,02/29/2024,03:55
scooter,500,trolley - central campus station,04/01/2024,08:42
bicycle,250,theatre district drive,04/01/2024,01:50
bicycle,1500,price center,04/01/2024,17:46
bicycle,500,center hall,04/02/2024,13:05
bicycle,190,rita atkinson,03/18/2024,01:15
scooter,213,atkinson hall,04/03/2024,13:20
scooter,270,social sciences building,04/03/2024,11:32
scooter,300,thurgood marshall,04/05/2024,03:22
scooter,300,otterson hall,04/05/2024,11:30
scooter,400,seventh college  #1,04/06/2024,04:45
bicycle,800,seventh college  #7,04/07/2024,02:22
scooter,400,social sciences building,04/04/2024,15:15
bicycle,-1,trolley - central campus,04/08/2024,19:35
scooter,1049,marshall upper apartments,04/09/2024,04:25
scooter,999,pines dining hall,04/10/2024,08:20
scooter,250,ridge walk academic,04/09/2024,17:45
bicycle,300,trolley - central campus station,04/11/2024,11:55
scooter,-1,trolley - la jolla health station,04/07/2024,11:17
bicycle,50,coast graduate housing,04/13/2024,07:30
bicycle,840,pepper canyon apartments,04/14/2024,07:45
bicycle,1000,argo hall,04/14/2024,09:45
bicycle,2500,earth hall south,04/14/2024,17:00
scooter,200,pepper canyon hall,04/16/2024,12:52
scooter,300,"one miramar street, building 4",04/19/2024,05:45
bicycle,100,torrey pines center - south,02/25/2024,00:00
scooter,300,innovation lane,04/20/2024,03:00
scooter,2500,viento,04/20/2024,12:50
bicycle,900,tenaya hall,04/21/2024,04:22
bicycle,1000,conrad prebys music center,04/19/2024,15:30
bicycle,250,seventh college,04/17/2024,05:00
bicycle,-1,neighborhood - coast apartments,04/23/2024,14:24
scooter,275,9515 gilman drive - ,04/25/2024,09:50
bicycle,65,"1 miramar street complex, between building #1 & #2",04/25/2024,12:36
bicycle,200,latin america hall & north america hall,03/27/2024,12:00
scooter,280,applied physics and mathematics,04/26/2024,16:00
bicycle,50,argo hall,04/26/2024,16:03
scooter,250,gilman drive,04/27/2024,05:10
bicycle,500,warren lecture hall,04/28/2024,13:00
scooter,-1,main gym,04/28/2024,19:02
bicycle,900,"one miramar street, building 1",04/24/2024,04:00
scooter,520,cater hall,04/29/2024,17:42
bicycle,500,peterson hall,04/29/2024,14:22
scooter,250,geisel library,04/29/2024,20:50
scooter,479,trolley - central campus station,04/29/2024,18:15
scooter,500,geisel library,04/29/2024,17:57
scooter,800,geisel library,04/29/2024,20:27
bicycle,-1,scholars drive north,04/30/2024,15:28
scooter,750,trolley - central campus station,04/30/2024,21:07
scooter,1000,pepper canyon hall,10/02/2024,17:45
scooter,295,ledden auditorium,10/02/2024,17:25
scooter,300,geisel library,10/02/2024,19:12
scooter,235,jacobs hall,10/03/2024,17:19
scooter,-1,york hall,10/04/2024,13:33
scooter,500,galbraith hall,10/04/2024,11:55
bicycle,350,miramar street,10/04/2024,14:05
scooter,538,peterson hall,10/04/2024,14:15
bicycle,300,seventh college  #6,10/05/2024,01:45
bicycle,550,earth hall north,10/05/2024,02:45
scooter,300,jacobs hall,10/05/2024,20:40
scooter,700,franklin antonio hall,10/02/2024,18:00
scooter,900,york hall,10/07/2024,12:30
bicycle,1000,9865 towne centre drive,10/07/2024,16:29
bicycle,500,wells fargo hall,10/07/2024,13:20
scooter,-1,center hall,10/07/2024,17:30
scooter,450,center hall,10/07/2024,17:37
scooter,480,geisel library,10/07/2024,14:30
bicycle,450,frankfurter hall,10/05/2024,21:29
scooter,200,price center  - target,08/15/2024,16:30
bicycle,50,gilman parking,10/08/2024,12:30
scooter,600,voigt drive,10/07/2024,03:55
scooter,377,trolley - central campus,10/08/2024,21:27
bicycle,-1,sally t wongavery library,10/09/2024,14:05
scooter,525,blake hall,10/09/2024,13:30
scooter,-1,trolley - la jolla health station,10/09/2024,17:22
scooter,530,social sciences research building,10/10/2024,12:25
scooter,227,geisel library,10/10/2024,20:30
scooter,400,pepper canyon hall,10/09/2024,20:52
bicycle,100,tierra,10/10/2024,01:40
scooter,300,muir biology and applied physics,10/11/2024,16:22
bicycle,600,miramar street,10/11/2024,15:10
scooter,400,innovation lane,10/07/2024,21:55
bicycle,1000,york hall,10/12/2024,14:37
skateboard,-1,marshall residential life,10/12/2024,23:19
bicycle,1590,brisa,10/12/2024,23:27
scooter,349,price center/target,10/11/2024,22:47
scooter,-1,galbraith hall,10/11/2024,20:30
scooter,-1,geisel library on hopkins drive,10/13/2024,21:47
scooter,300,center hall,10/14/2024,10:15
scooter,289,design and innovation building,10/14/2024,22:18
scooter,500,gilman drive,10/14/2024,16:25
scooter,250,center hall,10/15/2024,14:12
scooter,650,geisel library,10/15/2024,15:27
scooter,-1,york hall,10/16/2024,11:21
bicycle,2000,azad,10/15/2024,17:00
scooter,1000,geisel library,10/16/2024,17:00
scooter,450,geisel library,10/16/2024,13:10
scooter,379,ledden auditorium,10/11/2024,16:00
scooter,625,center hall,10/17/2024,13:10
scooter,400,biology building,10/15/2024,14:22
scooter,400,biology building,10/17/2024,14:22
scooter,250,geisel library,10/17/2024,16:00
bicycle,300,pangea drive,10/18/2024,03:00
bicycle,350,plant power - catalyst,10/18/2024,01:57
scooter,188,pepper canyon hall,10/18/2024,14:10
scooter,230,showa ramen,10/18/2024,17:25
skateboard,850,applied mathematics and physics,10/19/2024,15:37
bicycle,600,64 degrees,10/19/2024,20:19
scooter,425,center hall,10/20/2024,04:30
scooter,800,center hall,10/21/2024,16:26
bicycle,400,la jolla del sol apartments,10/21/2024,02:00
scooter,300,ridge walk academic building,10/21/2024,16:15
scooter,400,geisel library,10/21/2024,16:15
bicycle,3500,ledden auditorium,10/21/2024,19:45
scooter,-1,central campus trolley,10/21/2024,19:15
scooter,350,pepper canyon apartments,10/21/2024,20:44
scooter,900,tioga hall,10/22/2024,02:07
bicycle,175,thurgood marshall,10/22/2024,09:30
bicycle,500,latin america hall,10/21/2024,04:00
scooter,425,applied physics and mathematics,10/22/2024,15:10
bicycle,1400,center hall,10/22/2024,16:00
scooter,450,franklin antonio hall,10/22/2024,17:25
scooter,300,trolley - central campus station,10/22/2024,05:00
scooter,-1,trolley - central campus station,10/22/2024,19:16
scooter,2500,ridge walk,10/22/2024,12:00
bicycle,1100,geisel library,10/22/2024,17:45
bicycle,180,"one miramar street, building 2",10/23/2024,04:15
bicycle,-1,york hall,10/23/2024,12:29
bicycle,525,wells fargo hall,10/23/2024,13:10
bicycle,499,trolley - central campus station,10/16/2024,12:45
scooter,300,pepper canyon hall,10/23/2024,12:20
scooter,1000,warren lecture hall,10/23/2024,18:26
scooter,200,pepper canyon hall,10/22/2024,01:00
scooter,400,gilman drive,10/25/2024,12:25
bicycle,599,podemos building,10/25/2024,14:20
scooter,310,york hall,10/25/2024,19:32
scooter,270,applied physics and mathematics,10/26/2024,13:35
scooter,350,3350 innovation lane,10/26/2024,18:00
skateboard,300,scholars parking structure,10/27/2024,11:46
scooter,371,social sciences bldg.,10/27/2024,14:10
scooter,170,pulse,10/27/2024,08:45
scooter,499,campus emergency services building,10/28/2024,00:00
scooter,350,center hall,10/28/2024,14:22
bicycle,370,mandeville center,10/28/2024,14:40
bicycle,275,catalyst,10/26/2024,17:37
scooter,400,sally t. wongavery library,10/28/2024,18:40
bicycle,400,harlan hall,10/28/2024,15:55
bicycle,900,stewart hall,10/28/2024,03:42
scooter,600,parking lot p602,10/29/2024,06:15
scooter,299,main gymnasium,10/29/2024,15:42
bicycle,-1,trolley- central campus station,10/28/2024,18:05
scooter,300,pepper canyon  apartments,10/29/2024,12:00
scooter,-1,price center  - starbucks,10/29/2024,20:30
bicycle,-1,club med,10/30/2024,16:30
scooter,-1,target,01/10/2019,17:52
scooter,760,fan - fan - rw academic building,12/01/2023,11:55
scooter,2000,showa ramen - rw academic buildong,12/01/2023,11:50
scooter,800,franklin antonio hall,09/11/2023,14:24
scooter,200,price center  - target,12/01/2023,00:25
scooter,800,russell lane,09/11/2023,05:40
bicycle,1300,the market at seventh college,12/02/2023,00:30
bicycle,300,structural & material engineering bldg,12/03/2023,13:45
scooter,450,sally t. wongavery library,12/03/2023,17:27
bicycle,1500,geisel library,12/03/2023,19:15
scooter,450,trolley - central campus station,12/04/2023,19:11
bicycle,500,canyonview aquatic,12/04/2023,21:00
bicycle,650,1 miramar st,12/01/2023,03:40
scooter,450,trolley - central campus station,12/04/2023,17:30
scooter,500,center hall,12/05/2023,15:57
scooter,450,structural & material engineering building,12/06/2023,08:52
bicycle,2000,price center ,12/06/2023,17:22
bicycle,650,actri,12/05/2023,15:07
bicycle,600,york hall,12/06/2023,12:00
scooter,-1,ucsd medical center - hillcrest,12/05/2023,12:55
bicycle,150,miramar street,12/06/2023,14:30
scooter,800,russell ln,09/11/2023,06:30
scooter,800,russell ln,09/12/2023,17:30
scooter,800,russell ln,09/14/2023,05:30
scooter,900,social science research building,12/07/2023,19:50
bicycle,-1,geisel library,12/08/2023,17:07
scooter,503,tenaya hall,12/08/2023,16:55
scooter,700,geisel library,12/08/2023,23:34
bicycle,250,artesa,12/09/2023,12:10
scooter,300,price center ,12/09/2023,14:30
bicycle,140,challenger hall,12/08/2023,23:45
bicycle,2040,seventh college  #1,12/06/2023,02:15
scooter,-1,trolley - central campus station,12/10/2023,14:09
bicycle,300,tioga hall,11/26/2023,02:20
bicycle,300,meteor hall,12/10/2023,00:40
scooter,300,rady school of management,12/12/2023,09:30
scooter,800,trolley - central campus station,12/13/2023,12:00
scooter,500,geisel library,12/13/2023,14:45
scooter,277,medical education and telemedicine,12/13/2023,19:45
bicycle,1200,humanities and social sciences,12/14/2023,23:23
bicycle,730,sixth market,12/12/2023,20:07
scooter,280,target,12/16/2023,17:30
scooter,800,scholars drive - south,12/17/2023,11:09
scooter,400,theatre district drive,12/17/2023,13:43
scooter,300,innovation lane,12/17/2023,18:15
bicycle,1000,gilman dr,12/18/2023,13:22
bicycle,1330,one miramar street,12/18/2023,23:11
scooter,263,giesel library,12/21/2023,11:47
scooter,800,viento,09/18/2023,03:30
scooter,650,asante hall,12/28/2023,15:00
bicycle,1200,mesa apartments south,12/24/2023,13:00
bicycle,100,cala,12/28/2023,05:16
scooter,359,trolley - central campus station,12/30/2024,20:15
scooter,400,franklin antonio hall,09/01/2023,14:45
bicycle,400,la jolla del sol apartments,09/01/2023,03:45
bicycle,2000,john's place & market,09/02/2023,16:50
scooter,500,design and innovation building,09/02/2023,11:25
bicycle,1000,astilla,09/04/2023,14:00
bicycle,300,thurgood marshall res halls,09/06/2023,20:03
bicycle,120,urey hall,09/08/2023,02:00
bicycle,6000,torrey pines center north,09/12/2023,11:30
bicycle,500,artesa,09/05/2023,12:47
bicycle,699,neighborhood - tdll,09/13/2023,14:30
bicycle,8000,north torrey pines parking lot,09/12/2023,11:30
bicycle,500,mesa apartments south,09/16/2023,07:11
scooter,250,rimac annex,09/18/2023,12:25
scooter,300,rimac annex,09/18/2023,12:37
bicycle,400,computer science and engineering building,09/19/2023,12:35
bicycle,400,voigt drive,09/19/2023,12:35
bicycle,500,pepper canyon lane,09/21/2023,12:25
scooter,300,stein clinical research building,09/22/2023,14:22
bicycle,360,target,09/22/2023,16:55
bicycle,-1,library walk san diego,09/22/2023,17:02
bicycle,-1,one miramar st,09/21/2023,18:40
bicycle,2300,rimac,09/26/2023,20:22
scooter,-1,muir biology building,09/26/2023,20:50
scooter,1300,canyonview rec/athletics administration,09/27/2023,10:15
bicycle,2000,hopkins dr,09/26/2023,20:15
bicycle,200,regents road,09/26/2023,22:10
bicycle,900,exchange,09/24/2023,17:45
bicycle,50,pepper canyon apartments,09/27/2023,09:52
scooter,500,seventh college ,09/27/2023,22:30
scooter,275,town square,09/27/2023,15:05
bicycle,300,cala,09/28/2023,00:45
bicycle,300,matthews apartments,09/28/2023,14:30
scooter,648,trolley - central campus station,09/28/2023,20:00
bicycle,500,marshall college,09/29/2023,01:15
scooter,750,atlantis hall,09/27/2023,15:15
bicycle,700,scholars dr n.,09/30/2023,00:30
scooter,300,rimac,09/30/2023,21:57
scooter,300,trolley - central campus station,10/01/2023,18:55
bicycle,150,frankfurter hall,10/01/2023,18:42
bicycle,350,otterson hall,10/02/2023,09:30
scooter,650,galbraith hall,10/02/2023,14:23
bicycle,1400,center hall,10/03/2023,09:07
scooter,400,trolley - central campus station (),10/03/2023,10:10
bicycle,2000,sally t. wongavery library,10/03/2023,18:31
scooter,400,center hall,10/03/2023,10:10
bicycle,200,tapestry  locker,10/03/2023,14:15
bicycle,370,tioga hall,10/05/2023,01:00
scooter,450,design and innovation bldg,10/05/2023,22:23
scooter,1485,rimac,10/06/2023,07:25
scooter,650,trolley - central campus station,10/06/2023,16:22
scooter,400,matthew ln,10/06/2023,19:00
bicycle,950,piedra,10/06/2023,03:15
scooter,545,center hall,10/05/2023,22:47
scooter,500,the village at torrey pines,10/09/2023,16:20
scooter,530,meteor hall,10/09/2023,06:00
scooter,300,marshall residence hall p,10/10/2023,16:12
bicycle,750,applied physics and mathematics,10/10/2023,20:30
bicycle,1600,warren lecture hall,10/10/2023,20:30
bicycle,450,gilman dr,10/11/2023,07:22
scooter,600,jacobs school of engineering,10/11/2023,10:00
scooter,630,gilman dr,10/11/2023,14:25
scooter,500,seventh college ,10/09/2023,16:30
scooter,500,pepper canyon apartments,10/08/2023,14:05
bicycle,1000,north america hall,10/11/2023,23:50
scooter,300,warren lecture hall,10/12/2023,14:15
scooter,425,trolley - central campus station,10/12/2023,18:45
bicycle,400,seventh college  building 6,10/12/2023,16:36
scooter,300,theatre district dr.,10/14/2023,01:45
bicycle,698,trolley - central campus station,10/14/2023,15:00
bicycle,200,peterson hall,10/14/2023,20:47
scooter,380,main gym,10/15/2023,02:45
bicycle,100,sixth college market,10/15/2023,00:32
scooter,420,design & innovation building,10/16/2023,12:47
bicycle,541,franklin antonio hall,10/16/2023,17:40
scooter,279,miramar street,10/16/2023,17:45
scooter,450,discovery hall,10/15/2023,01:50
bicycle,500,villa la jolla,10/16/2023,07:10
bicycle,519,piedra - 9th floor  hangers,10/19/2023,01:35
bicycle,-1,applied physics & mathematics,10/19/2023,11:45
bicycle,-1,trolley - central campus station,10/19/2023,19:00
bicycle,-1,trolley - central campus station,10/19/2023,18:26
scooter,500,matthews apartments a,10/20/2023,15:00
bicycle,150,mesa - south,10/20/2023,21:30
bicycle,500,matthews apartments,10/20/2023,21:30
bicycle,500,price center ,10/21/2023,09:30
bicycle,1720,price center ,10/21/2023,13:58
scooter,270,gilman drive,10/22/2023,01:25
scooter,1000,trolley - uc central campus stop,10/22/2023,18:45
bicycle,250,structural materials engineering building,10/23/2023,15:30
bicycle,690,pangea parking lot,10/23/2023,09:30
bicycle,1000,tdlln - podemos,10/22/2023,03:30
scooter,700,mandeville center,10/24/2023,10:15
bicycle,-1,"one miramar street, bldg 2",10/24/2023,19:19
scooter,300,pepper canyon hall,10/25/2023,09:37
scooter,200,warren lecture hall,10/25/2023,11:25
bicycle,150,center hall,10/21/2023,16:30
bicycle,900,seventh college  #1,10/26/2023,03:15
bicycle,200,pepper canyon apartments,10/26/2023,12:30
scooter,-1,center hall,10/26/2023,16:24
scooter,600,harlan hall,10/28/2023,00:02
scooter,299,structural and material engineering bldg,10/28/2023,10:07
scooter,600,trolley - central campus station,10/28/2023,03:22
scooter,600,kaleidoscope,10/28/2023,04:30
scooter,700,geisel library,10/29/2023,15:00
scooter,1000,central campus trolley,10/29/2023,15:00
scooter,200,central campus trolley,10/29/2023,14:30
bicycle,-1,thurgood marshall res hall,10/23/2023,12:00
scooter,850,trolley - central campus station,10/29/2023,03:45
scooter,600,geisel library,10/31/2023,11:30
scooter,400,ucsd police department,08/03/2023,12:15
bicycle,420,canyonview aquatic & climbing wall facility,08/03/2023,18:20
bicycle,60,viento,08/04/2023,02:30
scooter,549,trolley - central campus station,08/04/2023,13:00
bicycle,300,regents rd,08/04/2023,19:15
bicycle,549,mandeville lane,08/03/2023,19:12
bicycle,300,ucsd bookstore,08/07/2023,16:30
scooter,300,skaggs pharmaceutical sciences building,08/10/2023,13:35
bicycle,500,geisel library - ,08/10/2023,17:37
scooter,200,"one miramar street, bldg 2",08/11/2023,08:30
bicycle,500,one miramar street,08/12/2023,04:30
bicycle,290,"1 miramar street, la jolla",08/09/2023,17:37
bicycle,420,sixth market - mosaic,08/13/2023,02:20
bicycle,910,one miramar street - building 4,08/11/2023,17:45
scooter,500,sme building,08/14/2023,15:37
scooter,350,computer science and engineering building,08/14/2023,13:30
